record_id,word,legacy_candidate_form,dataset_layer,selection_status,relevance_score,bnc_rank,contemporary_rank,part_of_speech,oewn_lexicographer_classes,theme_candidates,inclusion_reason,selection_sources,definitions_zh,phonetic_uk,phonetic_us
extension-draft-0001,abolish,abolish,extension,draft_priority_needs_semantic_review,8,3736,7490,v,verb.social,人与社会,独立语料频率支持较强（BNC 3736；当代语料 7490；评分 8/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0002,abortion,abortion,extension,draft_priority_needs_semantic_review,9,4341,1969,n,noun.act|noun.event,人与社会,独立语料频率支持较强（BNC 4341；当代语料 1969；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0003,abrupt,abrupt,extension,draft_priority_needs_semantic_review,7,8560,8703,a,adj.all,一般阅读,独立语料频率支持较强（BNC 8560；当代语料 8703；评分 7/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0004,absolute,absolute,extension,draft_priority_needs_semantic_review,9,2420,3165,a|n,adj.all|noun.cognition,人与自我,独立语料频率支持较强（BNC 2420；当代语料 3165；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0005,absurd,absurd,extension,draft_priority_needs_semantic_review,7,5676,5901,a|n,adj.all|noun.state,一般阅读,独立语料频率支持较强（BNC 5676；当代语料 5901；评分 7/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0006,abundant,abundant,extension,draft_priority_needs_semantic_review,7,7823,6223,a,adj.all,一般阅读,独立语料频率支持较强（BNC 7823；当代语料 6223；评分 7/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0007,academy,academy,extension,draft_priority_needs_semantic_review,9,4366,4895,n,noun.artifact|noun.group,人与社会,独立语料频率支持较强（BNC 4366；当代语料 4895；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0008,accelerate,accelerate,extension,draft_priority_needs_semantic_review,8,5328,4925,v,verb.change,人与自然,独立语料频率支持较强（BNC 5328；当代语料 4925；评分 8/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0009,accessible,accessible,extension,draft_priority_needs_semantic_review,9,4162,4377,a,adj.all,一般阅读,独立语料频率支持较强（BNC 4162；当代语料 4377；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0010,accomplish,accomplish,extension,draft_priority_needs_semantic_review,8,5546,2345,v,verb.creation|verb.social,人与社会,独立语料频率支持较强（BNC 5546；当代语料 2345；评分 8/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
