sequence,infinitive,past_tense,past_participle,meaning_zh,in_release_3800,release_record_id,usage_note,form_source,meaning_source,qa_status
1,arise,arose,arisen,出现；产生；起身；由……引起,True,release-word-0162,,OEWN 2025 verb.exc + documented form rules,release_vocabulary_3800_zh,automated_checks_passed
2,be,was / were,been,是；存在；位于；成为；用于构成进行时或被动语态,True,release-word-0260,过去式按人称和单复数使用 was 或 were。,OEWN 2025 verb.exc + documented form rules,release_vocabulary_3800_zh,automated_checks_passed
3,beat,beat,beaten,击打；打败；跳动；搅拌,True,release-word-0266,,OEWN 2025 verb.exc + documented form rules,release_vocabulary_3800_zh,automated_checks_passed
4,become,became,become,变成；成为；适合；开始形成,True,release-word-0270,,OEWN 2025 verb.exc + documented form rules,release_vocabulary_3800_zh,automated_checks_passed
5,begin,began,begun,开始；着手；首先出现,True,release-word-0276,,OEWN 2025 verb.exc + documented form rules,release_vocabulary_3800_zh,automated_checks_passed
6,bend,bent,bent,弯曲；俯身；使屈服,True,release-word-0288,,OEWN 2025 verb.exc + documented form rules,release_vocabulary_3800_zh,automated_checks_passed
7,bet,bet / betted,bet / betted,打赌；确信,True,release-word-0293,,OEWN 2025 verb.exc + documented form rules,release_vocabulary_3800_zh,automated_checks_passed
8,bite,bit,bitten,咬；叮；刺痛,True,release-word-0307,,OEWN 2025 verb.exc + documented form rules,release_vocabulary_3800_zh,automated_checks_passed
9,bleed,bled,bled,流血；放血；渗开；排出液体,True,release-word-0314,,OEWN 2025 verb.exc + documented form rules,release_vocabulary_3800_zh,automated_checks_passed
10,blow,blew,blown,吹；刮；吹响；爆炸,True,release-word-0321,,OEWN 2025 verb.exc + documented form rules,release_vocabulary_3800_zh,automated_checks_passed
11,break,broke,broken,打破；弄坏；违反；中断；休息,True,release-word-0358,,OEWN 2025 verb.exc + documented form rules,release_vocabulary_3800_zh,automated_checks_passed
12,bring,brought,brought,带来；拿来；使处于；引起,True,release-word-0370,,OEWN 2025 verb.exc + documented form rules,release_vocabulary_3800_zh,automated_checks_passed
13,broadcast,broadcast,broadcast,广播；播送；传播,True,release-word-0374,,OEWN 2025 verb.exc + documented form rules,release_vocabulary_3800_zh,automated_checks_passed
14,build,built,built,建造；建立；逐渐增强,True,release-word-0381,,OEWN 2025 verb.exc + documented form rules,release_vocabulary_3800_zh,automated_checks_passed
15,burn,burned / burnt,burned / burnt,燃烧；烧伤；烧毁,True,release-word-0384,,OEWN 2025 verb.exc + documented form rules,release_vocabulary_3800_zh,automated_checks_passed
16,burst,burst,burst,爆裂；突然发生；猛冲,True,release-word-3123,,OEWN 2025 verb.exc + documented form rules,release_vocabulary_3800_zh,automated_checks_passed
17,buy,bought,bought,购买；买到；换取,True,release-word-0393,,OEWN 2025 verb.exc + documented form rules,release_vocabulary_3800_zh,automated_checks_passed
18,can,could,—,能；会；可以；可能；把……装罐,True,release-word-0411,could 是历史上的过去式，也常表达较弱语气；没有过去分词。,OEWN 2025 verb.exc + documented form rules,release_vocabulary_3800_zh,automated_checks_passed
19,catch,caught,caught,抓住；接住；赶上；感染；听懂,True,release-word-0444,,OEWN 2025 verb.exc + documented form rules,release_vocabulary_3800_zh,automated_checks_passed
20,choose,chose,chosen,选择；挑选；决定,True,release-word-0502,,OEWN 2025 verb.exc + documented form rules,release_vocabulary_3800_zh,automated_checks_passed
21,come,came,come,来；到达；发生；进入某种状态,True,release-word-0560,,OEWN 2025 verb.exc + documented form rules,release_vocabulary_3800_zh,automated_checks_passed
22,cost,cost,cost,价钱为；使付出代价,True,release-word-0651,,OEWN 2025 verb.exc + documented form rules,release_vocabulary_3800_zh,automated_checks_passed
23,cut,cut,cut,切；割；削减；中断,True,release-word-0700,,OEWN 2025 verb.exc + documented form rules,release_vocabulary_3800_zh,automated_checks_passed
24,deal,dealt,dealt,处理；交易；发牌；分配,True,release-word-0719,,OEWN 2025 verb.exc + documented form rules,release_vocabulary_3800_zh,automated_checks_passed
