phrase,normalized_phrase,word_count,minimum_lexical_level,oewn_match,oewn_pos,oewn_sense_ids,moby_match,tatoeba_cc0_sentence_count,candidate_status,priority_score,human_review_claimed
vice president,vice president,2,cet6,true,n,vice_president%1:18:00::,true,15,evidence_ready_review,44.0,false
olive oil,olive oil,2,cet6,true,n,olive_oil%1:13:00::,true,10,evidence_ready_review,38.594,false
commit suicide,commit suicide,2,cet6,true,v,commit_suicide%2:35:00::,false,5,evidence_ready_review,35.85,false
dwell on,dwell on,2,cet6,true,v,dwell_on%2:42:00::,true,3,evidence_ready_review,34.0,false
embark on,embark on,2,cet6,true,v,embark_on%2:36:00::,false,4,evidence_ready_review,33.219,false
in the midst,in the midst,3,cet6,true,r,in_the_midst%4:02:00::,false,6,evidence_ready_review,33.074,false
collide with,collide with,2,cet6,true,v,collide_with%2:35:00::,false,3,evidence_ready_review,30.0,false
quest for,quest for,2,cet6,true,v,quest_for%2:35:00::,false,3,evidence_ready_review,30.0,false
witch doctor,witch doctor,2,cet6,true,n,witch_doctor%1:18:00::,true,5,evidence_ready_review,29.85,false
crude oil,crude oil,2,cet6,true,n,crude_oil%1:27:00::,true,4,evidence_ready_review,27.219,false
humane society,humane society,2,cet6,false,,,true,4,moby_corpus_review,27.219,false
self esteem,self esteem,2,cet6,true,n,self-esteem%1:12:00::,true,4,evidence_ready_review,27.219,false
solar eclipse,solar eclipse,2,cet6,true,n,solar_eclipse%1:11:00::,true,4,evidence_ready_review,27.219,false
spinal cord,spinal cord,2,cet6,true,n,spinal_cord%1:08:00::,true,4,evidence_ready_review,27.219,false
butt in,butt in,2,cet6,true,v,butt_in%2:32:00::,false,2,evidence_ready_review,25.85,false
scrape by,scrape by,2,cet6,true,v,scrape_by%2:41:00::,false,2,evidence_ready_review,25.85,false
auxiliary language,auxiliary language,2,cet6,false,,,true,3,moby_corpus_review,24.0,false
disc jockey,disc jockey,2,cet6,true,n|v,disc-jockey%2:32:00::|disc_jockey%1:18:00::,true,1,evidence_ready_review,24.0,false
jack up,jack up,2,cet6,true,v,jack_up%2:35:00::,true,1,evidence_ready_review,24.0,false
salad dressing,salad dressing,2,cet6,true,n,salad_dressing%1:13:00::,true,3,evidence_ready_review,24.0,false
throne room,throne room,2,cet6,false,,,true,3,moby_corpus_review,24.0,false
tow truck,tow truck,2,cet6,true,n,tow_truck%1:06:00::,true,3,evidence_ready_review,24.0,false
abide by,abide by,2,cet6,true,v,abide_by%2:41:00::|abide_by%2:41:01::,false,1,evidence_ready_review,20.0,false
bronze age,bronze age,2,cet6,true,n,bronze_age%1:28:00::,false,3,evidence_ready_review,20.0,false
clamp down,clamp down,2,cet6,true,v,clamp_down%2:30:10::,false,1,evidence_ready_review,20.0,false
conceive of,conceive of,2,cet6,true,v,conceive_of%2:36:01::,false,1,evidence_ready_review,20.0,false
cricket match,cricket match,2,cet6,true,n,cricket_match%1:11:00::,false,3,evidence_ready_review,20.0,false
digestive tract,digestive tract,2,cet6,true,n,digestive_tract%1:08:00::,false,3,evidence_ready_review,20.0,false
dole out,dole out,2,cet6,true,v,dole_out%2:40:00::,false,1,evidence_ready_review,20.0,false
doze off,doze off,2,cet6,true,v,doze_off%2:29:00::,false,1,evidence_ready_review,20.0,false
foster care,foster care,2,cet6,true,n,foster_care%1:04:00::,false,3,evidence_ready_review,20.0,false
linger over,linger over,2,cet6,true,v,linger_over%2:42:00::,false,1,evidence_ready_review,20.0,false
power grid,power grid,2,cet6,true,n,power_grid%1:06:00::,false,3,evidence_ready_review,20.0,false
radioactive waste,radioactive waste,2,cet6,true,n,radioactive_waste%1:27:00::,false,3,evidence_ready_review,20.0,false
sober up,sober up,2,cet6,true,v,sober_up%2:30:00::|sober_up%2:30:01::,false,1,evidence_ready_review,20.0,false
breach of trust,breach of trust,3,cet6,true,n,breach_of_trust%1:04:00::,true,2,evidence_ready_review,19.85,false
chamber of commerce,chamber of commerce,3,cet6,true,n,chamber_of_commerce%1:14:00::,true,2,evidence_ready_review,19.85,false
chamber orchestra,chamber orchestra,2,cet6,true,n,chamber_orchestra%1:14:00::,true,2,evidence_ready_review,19.85,false
dwarf star,dwarf star,2,cet6,false,,,true,2,moby_corpus_review,19.85,false
electoral college,electoral college,2,cet6,true,n,electoral_college%1:14:00::,true,2,evidence_ready_review,19.85,false
free verse,free verse,2,cet6,true,n,free_verse%1:10:00::,true,2,evidence_ready_review,19.85,false
sexual intercourse,sexual intercourse,2,cet6,true,n,sexual_intercourse%1:04:00::,true,2,evidence_ready_review,19.85,false
space probe,space probe,2,cet6,true,n,space_probe%1:06:00::,true,2,evidence_ready_review,19.85,false
spiral galaxy,spiral galaxy,2,cet6,true,n,spiral_galaxy%1:14:00::,true,2,evidence_ready_review,19.85,false
