record_id,phrase,normalized_phrase,accepted_variants,introduced_level,included_in,phrase_type,evidence_route,form_evidence,oewn_sense_ids,moby_match,tatoeba_cc0_sentence_count,selection_reason,qa_status,human_review_claimed,meaning_zh,usage_note_zh,example_en,example_zh,content_method,content_qa_status,view_sequence
PH-J-0001,a bit,a bit,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,a_bit%4:02:00::,False,70,independently selected for learning value and first-introduction level,english_scope_frozen,False,一点；稍微,修饰形容词、副词或动词，表示程度不大。,I feel a bit tired after the long walk.,走了很长一段路后，我觉得有点累。,original_project_authored,draft_auto_validated,1
PH-J-0002,a few,a few,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adjective_expression,approved_dictionary_candidate_pool,OEWN,a_few%5:00:00:few:00,False,142,independently selected for learning value and first-introduction level,english_scope_frozen,False,几个；少数,修饰可数名词复数，表示数量虽少但并非没有。,A few students stayed to clean the classroom.,几个学生留下来打扫教室。,original_project_authored,draft_auto_validated,2
PH-J-0003,a little,a little,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,a_little%4:02:00::,False,128,independently selected for learning value and first-introduction level,english_scope_frozen,False,一点；少量,可修饰不可数名词，也可表示程度较小。,There is a little milk left in the fridge.,冰箱里还剩一点牛奶。,original_project_authored,draft_auto_validated,3
PH-J-0004,a lot,a lot,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,a_lot%4:02:00::,False,242,independently selected for learning value and first-introduction level,english_scope_frozen,False,很；非常；许多,可修饰动词表示程度，也可单独表示大量事物。,We learned a lot from the science project.,我们从这个科学项目中学到了很多。,original_project_authored,draft_auto_validated,4
PH-J-0005,according to,according to,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",fixed_structure,approved_dictionary_candidate_pool,Moby,,True,192,independently selected for learning value and first-introduction level,english_scope_frozen,False,根据；按照,后接名词或代词，说明信息来源或判断依据。,"According to the map, the library is near the park.",根据地图，图书馆在公园附近。,original_project_authored,draft_auto_validated,5
PH-J-0006,after all,after all,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,after_all%4:02:00::|after_all%4:02:01::,False,8,independently selected for learning value and first-introduction level,english_scope_frozen,False,毕竟；终究,用于补充一个应当考虑的理由或事实。,"Be patient with him; after all, he is new here.",对他耐心一点，毕竟他刚来这里。,original_project_authored,draft_auto_validated,6
PH-J-0007,all over,all over,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,all_over%4:02:00::|all_over%4:02:01::|all_over%5:00:00:finished:01,False,34,independently selected for learning value and first-introduction level,english_scope_frozen,False,到处；遍及,表示某事物分布在某地的各处。,Wild flowers grow all over the hill in spring.,春天，野花开遍整座山丘。,original_project_authored,draft_auto_validated,7
PH-J-0008,all right,all right,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,all_right%4:02:00::|all_right%4:02:01::|all_right%4:02:02::|all_right%5:00:00:satisfactory:00,True,4,independently selected for learning value and first-introduction level,english_scope_frozen,False,可以；没关系；安然无恙,可表示同意、接受，也可说明情况良好。,Do not worry; everything will be all right.,别担心，一切都会好起来的。,original_project_authored,draft_auto_validated,8
PH-J-0009,all the time,all the time,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,all_the_time%4:02:01::,False,21,independently selected for learning value and first-introduction level,english_scope_frozen,False,一直；始终,表示某种情况在一段时间内持续发生。,The baby smiled all the time during the visit.,在探访期间，宝宝一直在笑。,original_project_authored,draft_auto_validated,9
PH-J-0010,all the way,all the way,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,all_the_way%4:02:03::|all_the_way%4:02:04::|all_the_way%4:02:09::,False,11,independently selected for learning value and first-introduction level,english_scope_frozen,False,一路上；自始至终,表示整个路程或过程没有中断。,We talked all the way home.,我们一路聊着回到家。,original_project_authored,draft_auto_validated,10
PH-J-0011,as usual,as usual,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,as_usual%4:02:00::,False,9,independently selected for learning value and first-introduction level,english_scope_frozen,False,像往常一样,表示事情按照平常的方式发生。,My father got up early as usual.,我父亲像往常一样早起。,original_project_authored,draft_auto_validated,11
PH-J-0012,as well,as well,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,as_well%4:02:01::,False,120,independently selected for learning value and first-introduction level,english_scope_frozen,False,也；还,通常放在肯定句句末，补充同类的人或事。,"Lucy can speak French, and she can speak Spanish as well.",露西会说法语，也会说西班牙语。,original_project_authored,draft_auto_validated,12
PH-J-0013,at all,at all,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,at_all%4:02:00::,False,69,independently selected for learning value and first-introduction level,english_scope_frozen,False,根本；丝毫,常用于否定句或疑问句，加强“任何程度”的含义。,I was not nervous at all before the speech.,演讲前我一点也不紧张。,original_project_authored,draft_auto_validated,13
PH-J-0014,at first,at first,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,at_first%4:02:01::,False,21,independently selected for learning value and first-introduction level,english_scope_frozen,False,起初；开始时,用于说明最初的情况，后文常出现变化。,"At first, the puzzle looked difficult, but we soon solved it.",起初这个谜题看起来很难，但我们很快就解开了。,original_project_authored,draft_auto_validated,14
PH-J-0015,at home,at home,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,at_home%1:14:00::|at_home%4:02:00::|at_home%4:02:01::,True,37,independently selected for learning value and first-introduction level,english_scope_frozen,False,在家；在国内,通常表示人在住所，也可表示处于熟悉自在的状态。,I will stay at home and finish my book tonight.,今晚我会待在家里把书读完。,original_project_authored,draft_auto_validated,15
PH-J-0016,at last,at last,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,at_last%4:02:00::,False,27,independently selected for learning value and first-introduction level,english_scope_frozen,False,终于；最后,强调经过等待、努力或耽搁后某事发生。,"The rain stopped at last, and the match began.",雨终于停了，比赛开始了。,original_project_authored,draft_auto_validated,16
PH-J-0017,at least,at least,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,at_least%4:02:00::|at_least%4:02:01::,False,101,independently selected for learning value and first-introduction level,english_scope_frozen,False,至少,表示数量或程度不低于某个限度。,Please read at least ten pages every day.,请每天至少读十页。,original_project_authored,draft_auto_validated,17
PH-J-0018,at once,at once,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,at_once%4:02:00::|at_once%4:02:03::,False,25,independently selected for learning value and first-introduction level,english_scope_frozen,False,立刻；马上,表示不延迟地做某事。,"When you smell smoke, leave the room at once.",闻到烟味时，要立刻离开房间。,original_project_authored,draft_auto_validated,18
PH-J-0019,at the same time,at the same time,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,at_the_same_time%4:02:03::|at_the_same_time%4:02:05::|at_the_same_time%4:02:06::,False,29,independently selected for learning value and first-introduction level,english_scope_frozen,False,同时；不过,表示两件事同时发生，也可引出与前文并存的另一面。,The twins reached the finish line at the same time.,这对双胞胎同时到达终点。,original_project_authored,draft_auto_validated,19
PH-J-0020,at a time,at a time,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,at_a_time%4:02:00::,False,23,independently selected for learning value and first-introduction level,english_scope_frozen,False,每次；一次,表示每次只处理限定数量的人或事物。,Carry two boxes at a time to stay safe.,为了安全，每次搬两个箱子。,original_project_authored,draft_auto_validated,20
PH-J-0021,at work,at work,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adjective_expression,approved_dictionary_candidate_pool,OEWN,at_work%5:00:00:busy:00,False,16,independently selected for learning value and first-introduction level,english_scope_frozen,False,在工作；在起作用,可表示某人正在工作，也可表示某种力量正在发挥作用。,"My mother is still at work, so she will come later.",我妈妈还在工作，所以她会晚些来。,original_project_authored,draft_auto_validated,21
PH-J-0022,by hand,by hand,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,by_hand%4:02:01::,False,8,independently selected for learning value and first-introduction level,english_scope_frozen,False,用手；手工,表示不用机器，而是亲手完成。,Grandpa made this wooden toy by hand.,爷爷亲手制作了这个木制玩具。,original_project_authored,draft_auto_validated,22
