record_id,phrase,normalized_phrase,introduced_level,included_in,phrase_type,minimum_lexical_level,level_decision_method,oewn_match,oewn_pos,oewn_sense_ids,moby_match,tatoeba_cc0_sentence_count,selection_reason,qa_status,human_review_claimed
PH-J-0001,out of,out of,junior,junior|senior_high|cet4|cet6,adverbial_or_connector,junior,minimum_lexical_level_plus_editorial_screen,true,r,out_of%4:02:00::,false,291,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0002,a lot,a lot,junior,junior|senior_high|cet4|cet6,adverbial_or_connector,junior,minimum_lexical_level_plus_editorial_screen,true,r,a_lot%4:02:00::,false,242,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0003,go to,go to,junior,junior|senior_high|cet4|cet6,verb_expression,junior,minimum_lexical_level_plus_editorial_screen,true,n|v,go-to%1:06:01::|go_to%2:42:00::,true,101,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0004,more than,more than,junior,junior|senior_high|cet4|cet6,adjective_expression,junior,minimum_lexical_level_plus_editorial_screen,true,a,more_than%3:00:00::,false,400,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0005,live in,live in,junior,junior|senior_high|cet4|cet6,verb_expression,junior,minimum_lexical_level_plus_editorial_screen,true,v,live_in%2:34:00::,false,96,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0006,a little,a little,junior,junior|senior_high|cet4|cet6,adverbial_or_connector,junior,minimum_lexical_level_plus_editorial_screen,true,r,a_little%4:02:00::,false,128,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0007,come to,come to,junior,junior|senior_high|cet4|cet6,verb_expression,junior,minimum_lexical_level_plus_editorial_screen,true,v,come_to%2:29:00::|come_to%2:39:00::|come_to%2:41:00::|come_to%2:42:03::,true,57,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0008,as well,as well,junior,junior|senior_high|cet4|cet6,adverbial_or_connector,junior,minimum_lexical_level_plus_editorial_screen,true,r,as_well%4:02:01::,false,120,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0009,talk about,talk about,junior,junior|senior_high|cet4|cet6,verb_expression,junior,minimum_lexical_level_plus_editorial_screen,true,v,talk_about%2:32:00::|talk_about%2:32:01::,true,47,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0010,at least,at least,junior,junior|senior_high|cet4|cet6,adverbial_or_connector,junior,minimum_lexical_level_plus_editorial_screen,true,r,at_least%4:02:00::|at_least%4:02:01::,false,101,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0011,kind of,kind of,junior,junior|senior_high|cet4|cet6,adverbial_or_connector,junior,minimum_lexical_level_plus_editorial_screen,true,r,kind_of%4:02:00::,false,95,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0012,according to,according to,junior,junior|senior_high|cet4|cet6,fixed_expression,junior,minimum_lexical_level_plus_editorial_screen,false,,,true,192,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0013,believe in,believe in,junior,junior|senior_high|cet4|cet6,verb_expression,junior,minimum_lexical_level_plus_editorial_screen,true,v,believe_in%2:31:01::,false,50,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0014,look at,look at,junior,junior|senior_high|cet4|cet6,verb_expression,junior,minimum_lexical_level_plus_editorial_screen,true,v,look_at%2:31:00::|look_at%2:39:01::,false,50,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0015,look like,look like,junior,junior|senior_high|cet4|cet6,verb_expression,junior,minimum_lexical_level_plus_editorial_screen,true,v,look_like%2:42:00::,false,47,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0016,a bit,a bit,junior,junior|senior_high|cet4|cet6,adverbial_or_connector,junior,minimum_lexical_level_plus_editorial_screen,true,r,a_bit%4:02:00::,false,70,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0017,at all,at all,junior,junior|senior_high|cet4|cet6,adverbial_or_connector,junior,minimum_lexical_level_plus_editorial_screen,true,r,at_all%4:02:00::,false,69,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0018,put on,put on,junior,junior|senior_high|cet4|cet6,verb_expression,junior,minimum_lexical_level_plus_editorial_screen,true,a|n|v,put-on%1:04:00::|put-on%1:04:01::|put-on%1:10:00::|put_on%2:29:00::|put_on%2:29:03::|put_on%2:30:00::|put_on%2:30:01::|put_on%2:32:00::|put_on%2:35:00::|put_on%2:36:00::|put_on%2:36:01::|put_on%2:36:02::|put_on%5:00:00:counterfeit:00,true,22,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0019,a few,a few,junior,junior|senior_high|cet4|cet6,adjective_expression,junior,minimum_lexical_level_plus_editorial_screen,true,a,a_few%5:00:00:few:00,false,142,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0020,up to,up to,junior,junior|senior_high|cet4|cet6,adjective_expression,junior,minimum_lexical_level_plus_editorial_screen,true,a,up_to%5:00:00:adequate:00|up_to%5:00:00:busy:00,false,140,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0021,each other,each other,junior,junior|senior_high|cet4|cet6,fixed_expression,junior,minimum_lexical_level_plus_editorial_screen,false,,,true,138,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0022,go back,go back,junior,junior|senior_high|cet4|cet6,verb_expression,junior,minimum_lexical_level_plus_editorial_screen,true,v,go_back%2:30:00::|go_back%2:32:00::|go_back%2:42:00::,true,28,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0023,make sure,make sure,junior,junior|senior_high|cet4|cet6,verb_expression,junior,minimum_lexical_level_plus_editorial_screen,true,v,make_sure%2:41:00::,false,40,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0024,too much,too much,junior,junior|senior_high|cet4|cet6,adverbial_or_connector,junior,minimum_lexical_level_plus_editorial_screen,true,r,too_much%4:02:00::,false,58,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0025,close up,close up,junior,junior|senior_high|cet4|cet6,verb_expression,junior,minimum_lexical_level_plus_editorial_screen,true,n|r|v,close-up%1:06:01::|close_up%2:32:00::|close_up%2:35:00::|close_up%2:35:01::|close_up%2:41:00::|close_up%4:02:00::,true,8,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0026,care for,care for,junior,junior|senior_high|cet4|cet6,verb_expression,junior,minimum_lexical_level_plus_editorial_screen,true,v,care_for%2:29:00::|care_for%2:37:01::|care_for%2:37:08::,false,36,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0027,of course,of course,junior,junior|senior_high|cet4|cet6,adverbial_or_connector,junior,minimum_lexical_level_plus_editorial_screen,true,r,of_course%4:02:00::,false,55,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0028,for example,for example,junior,junior|senior_high|cet4|cet6,adverbial_or_connector,junior,minimum_lexical_level_plus_editorial_screen,true,r,for_example%4:02:00::,false,53,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0029,at home,at home,junior,junior|senior_high|cet4|cet6,adverbial_or_connector,junior,minimum_lexical_level_plus_editorial_screen,true,n|r,at_home%1:14:00::|at_home%4:02:00::|at_home%4:02:01::,true,37,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0030,come up,come up,junior,junior|senior_high|cet4|cet6,verb_expression,junior,minimum_lexical_level_plus_editorial_screen,true,v,come_up%2:30:00::|come_up%2:35:00::|come_up%2:35:01::|come_up%2:35:02::|come_up%2:36:03::|come_up%2:38:00::|come_up%2:38:01::|come_up%2:38:02::|come_up%2:38:03::|come_up%2:40:00::|come_up%2:42:00::|come_up%2:42:01::,true,23,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0031,get to,get to,junior,junior|senior_high|cet4|cet6,verb_expression,junior,minimum_lexical_level_plus_editorial_screen,true,v,get_to%2:30:00::|get_to%2:37:00::|get_to%2:38:02::,false,32,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0032,in all,in all,junior,junior|senior_high|cet4|cet6,adverbial_or_connector,junior,minimum_lexical_level_plus_editorial_screen,true,r,in_all%4:02:00::,false,49,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0033,all over,all over,junior,junior|senior_high|cet4|cet6,adverbial_or_connector,junior,minimum_lexical_level_plus_editorial_screen,true,a|r,all_over%4:02:00::|all_over%4:02:01::|all_over%5:00:00:finished:01,false,34,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0034,think of,think of,junior,junior|senior_high|cet4|cet6,verb_expression,junior,minimum_lexical_level_plus_editorial_screen,true,v,think_of%2:31:00::|think_of%2:31:01::|think_of%2:31:02::|think_of%2:31:03::|think_of%2:31:04::|think_of%2:36:00::,false,30,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0035,so far,so far,junior,junior|senior_high|cet4|cet6,adverbial_or_connector,junior,minimum_lexical_level_plus_editorial_screen,true,r,so_far%4:02:00::|so_far%4:02:01::|so_far%4:02:02::,false,45,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0036,walk in,walk in,junior,junior|senior_high|cet4|cet6,verb_expression,junior,minimum_lexical_level_plus_editorial_screen,true,a|n|v,walk-in%1:06:00::|walk-in%1:11:00::|walk-in%1:18:00::|walk-in%1:18:01::|walk-in%5:00:00:deep:01|walk_in%2:38:00::,true,14,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0037,work in,work in,junior,junior|senior_high|cet4|cet6,verb_expression,junior,minimum_lexical_level_plus_editorial_screen,true,n|v,work-in%1:04:00::|work_in%2:30:00::,false,29,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0038,set up,set up,junior,junior|senior_high|cet4|cet6,verb_expression,junior,minimum_lexical_level_plus_editorial_screen,true,v,set_up%2:30:00::|set_up%2:30:02::|set_up%2:30:03::|set_up%2:31:00::|set_up%2:35:00::|set_up%2:35:01::|set_up%2:35:02::|set_up%2:35:04::|set_up%2:36:00::|set_up%2:36:01::|set_up%2:36:02::|set_up%2:36:03::|set_up%2:41:00::|set_up%2:41:01::|set_up%2:41:02::,true,20,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0039,in fact,in fact,junior,junior|senior_high|cet4|cet6,adverbial_or_connector,junior,minimum_lexical_level_plus_editorial_screen,true,r,in_fact%4:02:00::,false,42,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0040,in front,in front,junior,junior|senior_high|cet4|cet6,adverbial_or_connector,junior,minimum_lexical_level_plus_editorial_screen,true,r,in_front%4:02:00::,false,40,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0041,live on,live on,junior,junior|senior_high|cet4|cet6,verb_expression,junior,minimum_lexical_level_plus_editorial_screen,true,v,live_on%2:42:00::,false,26,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0042,think about,think about,junior,junior|senior_high|cet4|cet6,verb_expression,junior,minimum_lexical_level_plus_editorial_screen,true,v,think_about%2:31:03::|think_about%2:31:05::,false,26,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0043,shut up,shut up,junior,junior|senior_high|cet4|cet6,verb_expression,junior,minimum_lexical_level_plus_editorial_screen,true,a|v,shut_up%2:30:00::|shut_up%2:32:00::|shut_up%2:35:00::|shut_up%5:00:00:confined:00,true,12,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0044,on earth,on earth,junior,junior|senior_high|cet4|cet6,adverbial_or_connector,junior,minimum_lexical_level_plus_editorial_screen,true,r,on_earth%4:02:00::,false,38,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0045,ask for,ask for,junior,junior|senior_high|cet4|cet6,verb_expression,junior,minimum_lexical_level_plus_editorial_screen,true,v,ask_for%2:32:00::|ask_for%2:37:00::,true,17,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0046,get back,get back,junior,junior|senior_high|cet4|cet6,verb_expression,junior,minimum_lexical_level_plus_editorial_screen,true,v,get_back%2:33:00::|get_back%2:33:01::|get_back%2:33:13::,true,16,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0047,make up,make up,junior,junior|senior_high|cet4|cet6,verb_expression,junior,minimum_lexical_level_plus_editorial_screen,true,n|v,make-up%1:06:00::|make-up%1:07:00::|make-up%1:11:00::|make_up%2:29:00::|make_up%2:30:00::|make_up%2:32:00::|make_up%2:36:01::|make_up%2:36:03::|make_up%2:40:00::|make_up%2:41:00::|make_up%2:42:00::|make_up%2:42:03::,false,23,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
PH-J-0048,take care,take care,junior,junior|senior_high|cet4|cet6,verb_expression,junior,minimum_lexical_level_plus_editorial_screen,true,v,take_care%2:41:00::|take_care%2:41:11::|take_care%2:41:12::,false,23,stable-form evidence; stage-compatible components; retained after automated editorial exclusions,english_scope_draft_ai_screened,false
