legacy_word,legacy_row_count,legacy_rows,oewn_pos,oewn_sense_count,lexical_evidence_score,ecdict_word,ecdict_match_type,ecdict_tags_audit_only,ecdict_gk_tag,bnc_rank,contemporary_rank,bnc_points,contemporary_points,cross_corpus_bonus,relevance_score,frequency_profile,form_review_flags,recommendation,reason
abolish,1,7,v,1,3,abolish,exact,gk cet6 ky toefl ielts gre,yes,3736,7490,4,3,1,8,strong_in_both_corpora,,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查
abortion,1,8,n,2,3,abortion,exact,gk ielts,yes,4341,1969,4,4,1,9,strong_in_both_corpora,,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查
abrupt,1,12,a,4,3,abrupt,exact,gk cet6 ky toefl ielts gre,yes,8560,8703,3,3,1,7,strong_in_both_corpora,,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查
absolute,1,15,a|n,6,3,absolute,exact,gk cet4 cet6 ky toefl gre,yes,2420,3165,4,4,1,9,strong_in_both_corpora,,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查
absurd,1,18,a|n,3,3,absurd,exact,gk cet6 ky toefl ielts gre,yes,5676,5901,3,3,1,7,strong_in_both_corpora,,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查
abundant,1,19,a,1,3,abundant,exact,gk cet4 ky toefl gre,yes,7823,6223,3,3,1,7,strong_in_both_corpora,,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查
academy,1,22,n,4,3,academy,exact,gk cet4 cet6 ky toefl,yes,4366,4895,4,4,1,9,strong_in_both_corpora,,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查
accelerate,1,23,v,2,3,accelerate,exact,gk cet4 cet6 ky toefl ielts gre,yes,5328,4925,3,4,1,8,strong_in_both_corpora,,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查
accessible,1,27,a,4,3,accessible,exact,gk cet6 toefl ielts gre,yes,4162,4377,4,4,1,9,strong_in_both_corpora,,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查
accomplish,1,31,v,2,3,accomplish,exact,gk cet4 ky toefl ielts gre,yes,5546,2345,3,4,1,8,strong_in_both_corpora,,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查
