legacy_word,legacy_row_count,legacy_rows,classification
abolish,1,7,extension_candidate_pending_review
abortion,1,8,extension_candidate_pending_review
abrupt,1,12,extension_candidate_pending_review
absolute,1,15,extension_candidate_pending_review
absurd,1,18,extension_candidate_pending_review
abundant,1,19,extension_candidate_pending_review
academy,1,22,extension_candidate_pending_review
accelerate,1,23,extension_candidate_pending_review
accessible,1,27,extension_candidate_pending_review
accomplish,1,31,extension_candidate_pending_review
accountant,1,34,extension_candidate_pending_review
accumulate,1,35,extension_candidate_pending_review
accuracy,1,36,extension_candidate_pending_review
accustomed,1,38,extension_candidate_pending_review
acquaintance,1,44,extension_candidate_pending_review
acquisition,1,46,extension_candidate_pending_review
acre,1,47,extension_candidate_pending_review
actual,1,55,extension_candidate_pending_review
acute,1,56,extension_candidate_pending_review
addicted,1,62,extension_candidate_pending_review
adequate,1,65,extension_candidate_pending_review
adjustment,1,67,extension_candidate_pending_review
admirable,1,69,extension_candidate_pending_review
admission,1,71,extension_candidate_pending_review
adolescence,1,73,extension_candidate_pending_review
adolescent,1,74,extension_candidate_pending_review
adore,1,76,extension_candidate_pending_review
aeroplane,1,86,extension_candidate_pending_review
affection,1,89,extension_candidate_pending_review
agent,1,102,extension_candidate_pending_review
aggression,1,103,extension_candidate_pending_review
aggressive,1,104,extension_candidate_pending_review
agricultural,1,108,extension_candidate_pending_review
AIDS,1,112,extension_candidate_pending_review
aircraft,1,115,extension_candidate_pending_review
airmail,1,117,extension_candidate_pending_review
airplane,1,118,extension_candidate_pending_review
airspace,1,120,extension_candidate_pending_review
album,1,122,extension_candidate_pending_review
alcoholic,1,124,extension_candidate_pending_review
algebra,1,125,extension_candidate_pending_review
alike,1,126,extension_candidate_pending_review
allergic,1,129,extension_candidate_pending_review
alley,1,130,extension_candidate_pending_review
allocate,1,131,extension_candidate_pending_review
allowance,1,133,extension_candidate_pending_review
alphabet,1,139,extension_candidate_pending_review
altitude,1,144,extension_candidate_pending_review
aluminium,1,146,extension_candidate_pending_review
amaze,1,151,extension_candidate_pending_review
ambassador,1,153,extension_candidate_pending_review
ambiguous,1,154,extension_candidate_pending_review
ample,1,161,extension_candidate_pending_review
amusement,1,163,extension_candidate_pending_review
analysis,1,165,extension_candidate_pending_review
anchor,1,167,extension_candidate_pending_review
anecdote,1,170,extension_candidate_pending_review
anniversary,1,176,extension_candidate_pending_review
announcement,1,178,extension_candidate_pending_review
Antarctic,1,184,extension_candidate_pending_review
Antarctica,1,186,extension_candidate_pending_review
apology,1,200,extension_candidate_pending_review
apparent,1,201,extension_candidate_pending_review
appearance,1,204,extension_candidate_pending_review
appendix,1,205,extension_candidate_pending_review
appoint,1,212,extension_candidate_pending_review
appreciation,1,215,extension_candidate_pending_review
approximately,1,219,extension_candidate_pending_review
apron,1,220,extension_candidate_pending_review
Arab,1,226,extension_candidate_pending_review
Arabic,1,227,extension_candidate_pending_review
arbitrary,1,221,extension_candidate_pending_review
architecture,1,224,extension_candidate_pending_review
Arctic,1,228,extension_candidate_pending_review
argument,1,234,extension_candidate_pending_review
arithmetic,1,236,extension_candidate_pending_review
armchair,1,238,extension_candidate_pending_review
arrange,1,241,extension_candidate_pending_review
arrival,1,244,extension_candidate_pending_review
ash,1,252,extension_candidate_pending_review
assessment,1,261,extension_candidate_pending_review
assist,1,262,extension_candidate_pending_review
assistance,1,263,extension_candidate_pending_review
associate,1,265,extension_candidate_pending_review
astronomy,1,272,extension_candidate_pending_review
athletic,1,275,extension_candidate_pending_review
athletics,1,276,extension_candidate_pending_review
atom,1,280,extension_candidate_pending_review
attentively,1,287,extension_candidate_pending_review
attraction,1,290,extension_candidate_pending_review
attractive,1,291,extension_candidate_pending_review
authentic,1,293,extension_candidate_pending_review
avenue,1,304,extension_candidate_pending_review
bachelor,1,315,extension_candidate_pending_review
backache,1,317,extension_candidate_pending_review
bacterium,1,321,extension_candidate_pending_review
badly,1,323,extension_candidate_pending_review
baggage,1,326,extension_candidate_pending_review
bake,1,327,extension_candidate_pending_review
balcony,1,330,extension_candidate_pending_review
ballpoint,1,334,extension_candidate_pending_review
bandage,1,339,extension_candidate_pending_review
bang,1,340,extension_candidate_pending_review
bank account,1,342,extension_candidate_pending_review
barber,1,345,extension_candidate_pending_review
barbershop,1,346,extension_candidate_pending_review
bare,1,347,extension_candidate_pending_review
bargain,1,348,extension_candidate_pending_review
basement,1,353,extension_candidate_pending_review
bathe,1,361,extension_candidate_pending_review
bathrobe,1,362,extension_candidate_pending_review
bathtub,1,364,extension_candidate_pending_review
battleground,1,367,extension_candidate_pending_review
beam,1,372,extension_candidate_pending_review
beast,1,377,extension_candidate_pending_review
bedclothes,1,384,extension_candidate_pending_review
beddings,1,385,extension_candidate_pending_review
bee,1,387,extension_candidate_pending_review
beehive,1,389,extension_candidate_pending_review
beg,1,392,extension_candidate_pending_review
beginning,1,394,extension_candidate_pending_review
Belgium,1,400,extension_candidate_pending_review
belly,1,404,extension_candidate_pending_review
bench,1,408,extension_candidate_pending_review
beneficial,1,411,extension_candidate_pending_review
bent,1,413,extension_candidate_pending_review
besides,1,415,extension_candidate_pending_review
best-seller,1,417,extension_candidate_pending_review
betray,1,419,extension_candidate_pending_review
bid,1,423,extension_candidate_pending_review
bingo,1,428,extension_candidate_pending_review
biochemistry,1,429,extension_candidate_pending_review
biography,1,430,extension_candidate_pending_review
birdcage,1,433,extension_candidate_pending_review
birthplace,1,436,extension_candidate_pending_review
bishop,1,438,extension_candidate_pending_review
boat race,1,458,extension_candidate_pending_review
boating,1,459,extension_candidate_pending_review
bodybuilding,1,460,extension_candidate_pending_review
bookcase,1,467,extension_candidate_pending_review
bookmark,1,468,extension_candidate_pending_review
bookshelf,1,469,extension_candidate_pending_review
bookshop,1,470,extension_candidate_pending_review
bookstore,1,471,extension_candidate_pending_review
boom,1,472,extension_candidate_pending_review
booth,1,474,extension_candidate_pending_review
botany,1,483,extension_candidate_pending_review
boycott,1,496,extension_candidate_pending_review
brake,1,498,extension_candidate_pending_review
brand,1,500,extension_candidate_pending_review
bravery,1,502,extension_candidate_pending_review
breakthrough,1,507,extension_candidate_pending_review
breathless,1,511,extension_candidate_pending_review
brewery,1,512,extension_candidate_pending_review
broken,1,528,extension_candidate_pending_review
broom,1,529,extension_candidate_pending_review
brotherhood,1,531,extension_candidate_pending_review
brunch,1,533,extension_candidate_pending_review
bucket,1,535,extension_candidate_pending_review
Buddhism,1,536,extension_candidate_pending_review
Buddhist,1,537,extension_candidate_pending_review
bun,1,542,extension_candidate_pending_review
bungalow,1,544,extension_candidate_pending_review
burden,1,545,extension_candidate_pending_review
bureaucratic,1,546,extension_candidate_pending_review
burglar,1,547,extension_candidate_pending_review
burial,1,548,extension_candidate_pending_review
burst,1,550,extension_candidate_pending_review
bus stop,1,553,extension_candidate_pending_review
bush,1,554,extension_candidate_pending_review
businessman,1,556,extension_candidate_pending_review
businesswoman,1,557,extension_candidate_pending_review
butterfly,1,562,extension_candidate_pending_review
cab,1,568,extension_candidate_pending_review
can opener,1,583,extension_candidate_pending_review
caption,1,597,extension_candidate_pending_review
card games,1,601,extension_candidate_pending_review
carpenter,1,605,extension_candidate_pending_review
carriage,1,607,extension_candidate_pending_review
carrier,1,608,extension_candidate_pending_review
cassette,1,615,extension_candidate_pending_review
casual,1,618,extension_candidate_pending_review
catalogue,1,620,extension_candidate_pending_review
catastrophe,1,621,extension_candidate_pending_review
cater,1,624,extension_candidate_pending_review
cathedral,1,626,extension_candidate_pending_review
catholic,1,625,extension_candidate_pending_review
caution,1,629,extension_candidate_pending_review
cautious,1,630,extension_candidate_pending_review
CD,1,632,extension_candidate_pending_review
CD-ROM,1,633,extension_candidate_pending_review
celebration,1,636,extension_candidate_pending_review
cellar,1,638,extension_candidate_pending_review
centigrade,1,640,extension_candidate_pending_review
ceremony,1,645,extension_candidate_pending_review
chain store,1,650,extension_candidate_pending_review
challenging,1,656,extension_candidate_pending_review
changeable,1,659,extension_candidate_pending_review
chant,1,662,extension_candidate_pending_review
cheer up,1,675,extension_candidate_pending_review
cheerful,1,676,extension_candidate_pending_review
cheers,1,677,extension_candidate_pending_review
cheque,1,683,extension_candidate_pending_review
chick,1,687,extension_candidate_pending_review
childhood,1,691,extension_candidate_pending_review
chimney,1,692,extension_candidate_pending_review
chips,1,695,extension_candidate_pending_review
choir,1,698,extension_candidate_pending_review
Christian,1,703,extension_candidate_pending_review
Christmas card,1,705,extension_candidate_pending_review
Christmas Eve,1,707,extension_candidate_pending_review
Christmas tree,1,706,extension_candidate_pending_review
cigar,1,709,extension_candidate_pending_review
circulate,1,714,extension_candidate_pending_review
classical,1,726,extension_candidate_pending_review
classify,1,727,extension_candidate_pending_review
claw,1,730,extension_candidate_pending_review
cleaner,1,733,extension_candidate_pending_review
clearly,1,735,extension_candidate_pending_review
clothing,1,747,extension_candidate_pending_review
clumsy,1,751,extension_candidate_pending_review
co-worker,1,898,extension_candidate_pending_review
cock,1,756,extension_candidate_pending_review
cocoa,1,757,extension_candidate_pending_review
coincidence,1,760,extension_candidate_pending_review
coke,1,761,extension_candidate_pending_review
cold-blooded,1,763,extension_candidate_pending_review
colleague,1,765,extension_candidate_pending_review
collision,1,769,extension_candidate_pending_review
comb,1,771,extension_candidate_pending_review
comma,1,777,extension_candidate_pending_review
command,1,778,extension_candidate_pending_review
