sequence,phrase,normalized_phrase,introduced_level,evidence_route,form_evidence,oewn_sense_ids,moby_match,tatoeba_cc0_sentence_count,minimum_lexical_level,editorial_status,human_review_claimed
1,a bit,a bit,junior,approved_dictionary_candidate_pool,OEWN,a_bit%4:02:00::,false,70,junior,selected_for_cross_level_review,false
2,a few,a few,junior,approved_dictionary_candidate_pool,OEWN,a_few%5:00:00:few:00,false,142,junior,selected_for_cross_level_review,false
3,a little,a little,junior,approved_dictionary_candidate_pool,OEWN,a_little%4:02:00::,false,128,junior,selected_for_cross_level_review,false
4,a lot,a lot,junior,approved_dictionary_candidate_pool,OEWN,a_lot%4:02:00::,false,242,junior,selected_for_cross_level_review,false
5,according to,according to,junior,approved_dictionary_candidate_pool,Moby,,true,192,junior,selected_for_cross_level_review,false
6,after all,after all,junior,approved_dictionary_candidate_pool,OEWN,after_all%4:02:00::|after_all%4:02:01::,false,8,junior,selected_for_cross_level_review,false
7,all over,all over,junior,approved_dictionary_candidate_pool,OEWN,all_over%4:02:00::|all_over%4:02:01::|all_over%5:00:00:finished:01,false,34,junior,selected_for_cross_level_review,false
8,all right,all right,junior,approved_dictionary_candidate_pool,OEWN,all_right%4:02:00::|all_right%4:02:01::|all_right%4:02:02::|all_right%5:00:00:satisfactory:00,true,4,junior,selected_for_cross_level_review,false
9,all the time,all the time,junior,approved_dictionary_candidate_pool,OEWN,all_the_time%4:02:01::,false,21,junior,selected_for_cross_level_review,false
10,all the way,all the way,junior,approved_dictionary_candidate_pool,OEWN,all_the_way%4:02:03::|all_the_way%4:02:04::|all_the_way%4:02:09::,false,11,junior,selected_for_cross_level_review,false
11,as usual,as usual,junior,approved_dictionary_candidate_pool,OEWN,as_usual%4:02:00::,false,9,junior,selected_for_cross_level_review,false
12,as well,as well,junior,approved_dictionary_candidate_pool,OEWN,as_well%4:02:01::,false,120,junior,selected_for_cross_level_review,false
13,at all,at all,junior,approved_dictionary_candidate_pool,OEWN,at_all%4:02:00::,false,69,junior,selected_for_cross_level_review,false
14,at first,at first,junior,approved_dictionary_candidate_pool,OEWN,at_first%4:02:01::,false,21,cet4,selected_for_cross_level_review,false
15,at home,at home,junior,approved_dictionary_candidate_pool,OEWN,at_home%1:14:00::|at_home%4:02:00::|at_home%4:02:01::,true,37,junior,selected_for_cross_level_review,false
