word,relevance_score,relevance_recommendation,bnc_rank,contemporary_rank,oewn_pos,oewn_lexicographer_classes,theme_candidates,theme_assignment_status,independent_inclusion_reason,final_status
abolish,8,frequency_supported_extension,3736,7490,v,verb.social,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 3736；当代语料 7490；评分 8/9）,priority_candidate_needs_semantic_review
abortion,9,frequency_supported_extension,4341,1969,n,noun.act|noun.event,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 4341；当代语料 1969；评分 9/9）,priority_candidate_needs_semantic_review
abrupt,7,frequency_supported_extension,8560,8703,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 8560；当代语料 8703；评分 7/9）,priority_candidate_needs_semantic_review
absolute,9,frequency_supported_extension,2420,3165,a|n,adj.all|noun.cognition,人与自我,machine_candidate_needs_review,独立语料频率支持较强（BNC 2420；当代语料 3165；评分 9/9）,priority_candidate_needs_semantic_review
absurd,7,frequency_supported_extension,5676,5901,a|n,adj.all|noun.state,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 5676；当代语料 5901；评分 7/9）,priority_candidate_needs_semantic_review
abundant,7,frequency_supported_extension,7823,6223,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 7823；当代语料 6223；评分 7/9）,priority_candidate_needs_semantic_review
academy,9,frequency_supported_extension,4366,4895,n,noun.artifact|noun.group,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 4366；当代语料 4895；评分 9/9）,priority_candidate_needs_semantic_review
accelerate,8,frequency_supported_extension,5328,4925,v,verb.change,人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 5328；当代语料 4925；评分 8/9）,priority_candidate_needs_semantic_review
accessible,9,frequency_supported_extension,4162,4377,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 4162；当代语料 4377；评分 9/9）,priority_candidate_needs_semantic_review
accomplish,8,frequency_supported_extension,5546,2345,v,verb.creation|verb.social,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 5546；当代语料 2345；评分 8/9）,priority_candidate_needs_semantic_review
accountant,8,frequency_supported_extension,3280,5949,n,noun.person,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 3280；当代语料 5949；评分 8/9）,priority_candidate_needs_semantic_review
accumulate,8,frequency_supported_extension,4997,5083,v,verb.change|verb.possession,人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 4997；当代语料 5083；评分 8/9）,priority_candidate_needs_semantic_review
accuracy,9,frequency_supported_extension,3958,4076,n,noun.attribute,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 3958；当代语料 4076；评分 9/9）,priority_candidate_needs_semantic_review
accustomed,7,frequency_supported_extension,6431,8524,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 6431；当代语料 8524；评分 7/9）,priority_candidate_needs_semantic_review
acquaintance,7,frequency_supported_extension,5967,6274,n,noun.cognition|noun.person|noun.state,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 5967；当代语料 6274；评分 7/9）,priority_candidate_needs_semantic_review
acquisition,9,frequency_supported_extension,2567,3856,n,noun.act|noun.cognition|noun.possession,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 2567；当代语料 3856；评分 9/9）,priority_candidate_needs_semantic_review
acre,4,secondary_relevance_review,3286,,n,noun.quantity,人与自然,machine_candidate_needs_review,独立语料频率支持中等（BNC 3286；当代语料 无有效排名；评分 4/9）,pending_theme_review
actual,9,frequency_supported_extension,1396,1739,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 1396；当代语料 1739；评分 9/9）,priority_candidate_needs_semantic_review
acute,8,frequency_supported_extension,3249,5255,a|n,adj.all|noun.communication,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 3249；当代语料 5255；评分 8/9）,priority_candidate_needs_semantic_review
addicted,2,hold_without_more_evidence,41488,23549,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持不足（BNC 41488；当代语料 23549；评分 2/9）,hold
adequate,9,frequency_supported_extension,2398,3297,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 2398；当代语料 3297；评分 9/9）,priority_candidate_needs_semantic_review
adjustment,9,frequency_supported_extension,3424,3121,n,noun.act|noun.event|noun.possession|noun.process,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 3424；当代语料 3121；评分 9/9）,priority_candidate_needs_semantic_review
admirable,6,secondary_relevance_review,8547,10469,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持中等（BNC 8547；当代语料 10469；评分 6/9）,pending_theme_review
admission,9,frequency_supported_extension,2768,3031,n,noun.act|noun.attribute|noun.communication|noun.possession,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 2768；当代语料 3031；评分 9/9）,priority_candidate_needs_semantic_review
adolescence,7,frequency_supported_extension,8812,6897,n,noun.state|noun.time,人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 8812；当代语料 6897；评分 7/9）,priority_candidate_needs_semantic_review
adolescent,8,frequency_supported_extension,8678,3386,a|n,adj.all|adj.pert|noun.person,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 8678；当代语料 3386；评分 8/9）,priority_candidate_needs_semantic_review
adore,7,frequency_supported_extension,8708,7705,v,verb.emotion,人与自我,machine_candidate_needs_review,独立语料频率支持较强（BNC 8708；当代语料 7705；评分 7/9）,priority_candidate_needs_semantic_review
aeroplane,5,secondary_relevance_review,6392,30278,n,noun.artifact,人与社会,machine_candidate_needs_review,独立语料频率支持中等（BNC 6392；当代语料 30278；评分 5/9）,pending_theme_review
affection,8,frequency_supported_extension,4103,5137,n,noun.feeling,人与自我,machine_candidate_needs_review,独立语料频率支持较强（BNC 4103；当代语料 5137；评分 8/9）,priority_candidate_needs_semantic_review
agent,9,frequency_supported_extension,1214,1020,n,noun.communication|noun.object|noun.person|noun.substance,人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 1214；当代语料 1020；评分 9/9）,priority_candidate_needs_semantic_review
aggression,9,frequency_supported_extension,4772,4521,n,noun.act|noun.attribute|noun.feeling,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 4772；当代语料 4521；评分 9/9）,priority_candidate_needs_semantic_review
aggressive,9,frequency_supported_extension,3648,2514,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 3648；当代语料 2514；评分 9/9）,priority_candidate_needs_semantic_review
agricultural,9,frequency_supported_extension,2188,3104,a,adj.all|adj.pert,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 2188；当代语料 3104；评分 9/9）,priority_candidate_needs_semantic_review
aircraft,9,frequency_supported_extension,1538,2803,n,noun.artifact,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 1538；当代语料 2803；评分 9/9）,priority_candidate_needs_semantic_review
airmail,3,hold_without_more_evidence,27385,31683,n|v,noun.communication|verb.communication,人与社会,machine_candidate_needs_review,独立语料频率支持不足（BNC 27385；当代语料 31683；评分 3/9）,hold
airplane,6,secondary_relevance_review,21702,3519,n,noun.artifact,人与社会,machine_candidate_needs_review,独立语料频率支持中等（BNC 21702；当代语料 3519；评分 6/9）,pending_theme_review
airspace,4,secondary_relevance_review,23446,16254,n,noun.location,人与自然,machine_candidate_needs_review,独立语料频率支持中等（BNC 23446；当代语料 16254；评分 4/9）,pending_theme_review
album,9,frequency_supported_extension,2991,2215,n,noun.artifact|noun.communication,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 2991；当代语料 2215；评分 9/9）,priority_candidate_needs_semantic_review
