legacy_word,legacy_row_count,legacy_rows,oewn_pos,oewn_sense_count,lexical_evidence_score,ecdict_word,ecdict_match_type,ecdict_tags_audit_only,ecdict_gk_tag,bnc_rank,contemporary_rank,bnc_points,contemporary_points,cross_corpus_bonus,relevance_score,frequency_profile,form_review_flags,recommendation,reason
addicted,1,62,a,1,3,addicted,exact,gk toefl,yes,41488,23549,0,1,1,2,limited_frequency,possible_participle_or_adjective,hold_without_more_evidence,独立频率证据较弱或不完整；没有其他证据前暂不纳入；另有词形复核标记
airmail,1,117,n|v,3,2,airmail,exact,gk,yes,27385,31683,1,1,1,3,limited_frequency,,hold_without_more_evidence,独立频率证据较弱或不完整；没有其他证据前暂不纳入
backache,1,317,n,1,3,backache,exact,gk,yes,22814,29373,1,1,1,3,limited_frequency,,hold_without_more_evidence,独立频率证据较弱或不完整；没有其他证据前暂不纳入
ballpoint,1,334,n,1,2,ballpoint,exact,gk,yes,26210,24069,1,1,1,3,limited_frequency,,hold_without_more_evidence,独立频率证据较弱或不完整；没有其他证据前暂不纳入
barbershop,1,346,n,1,3,barbershop,exact,gk,yes,,16205,0,2,0,2,single_corpus_only,,hold_without_more_evidence,独立频率证据较弱或不完整；没有其他证据前暂不纳入
bedclothes,1,384,n,1,3,bedclothes,exact,gk,yes,,,0,0,0,0,no_frequency_rank,possible_plural_or_third_person,hold_without_more_evidence,独立频率证据较弱或不完整；没有其他证据前暂不纳入；另有词形复核标记
birdcage,1,433,n,1,3,birdcage,exact,gk,yes,44688,32730,0,1,1,2,limited_frequency,,hold_without_more_evidence,独立频率证据较弱或不完整；没有其他证据前暂不纳入
bookmark,1,468,n,1,3,bookmark,exact,gk,yes,27606,20965,1,1,1,3,limited_frequency,,hold_without_more_evidence,独立频率证据较弱或不完整；没有其他证据前暂不纳入
centigrade,1,640,a,1,3,centigrade,exact,gk cet4 cet6 ky toefl gre,yes,27004,,1,0,0,1,single_corpus_only,,hold_without_more_evidence,独立频率证据较弱或不完整；没有其他证据前暂不纳入
changeable,1,659,a,4,3,changeable,exact,gk,yes,20685,21649,1,1,1,3,limited_frequency,,hold_without_more_evidence,独立频率证据较弱或不完整；没有其他证据前暂不纳入
