legacy_word,legacy_row_count,legacy_rows,structural_type,oewn_match_type,oewn_lemmas,oewn_pos,oewn_sense_count,moby_wordlist_match_type,moby_wordlist_forms,moby_pos_match_type,moby_pos_forms,moby_pos_codes,normalized_headword_candidates,normalized_headword_evidence,existing_phrase_table_match,lexical_evidence_score,recommendation,reason
abolish,1,7,lowercase_single_word,exact,abolish,v,1,exact,abolish,exact,abolish,t,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
abortion,1,8,lowercase_single_word,exact,abortion,n,2,exact,abortion,exact,abortion,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
abrupt,1,12,lowercase_single_word,exact,abrupt,a,4,exact,abrupt,exact,abrupt,A,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
absolute,1,15,lowercase_single_word,exact,absolute,a|n,6,exact,absolute,exact,absolute,A|N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
absurd,1,18,lowercase_single_word,exact,absurd,a|n,3,exact,absurd,exact,absurd,A,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
abundant,1,19,lowercase_single_word,exact,abundant,a,1,exact,abundant,exact,abundant,A,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
academy,1,22,lowercase_single_word,exact,academy,n,4,exact,academy,exact,academy,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
accelerate,1,23,lowercase_single_word,exact,accelerate,v,2,exact,accelerate,exact,accelerate,V|t,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
accessible,1,27,lowercase_single_word,exact,accessible,a,4,exact,accessible,exact,accessible,A,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
accomplish,1,31,lowercase_single_word,exact,accomplish,v,2,exact,accomplish,exact,accomplish,t,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
accountant,1,34,lowercase_single_word,exact,accountant,n,1,exact,accountant,exact,accountant,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
accumulate,1,35,lowercase_single_word,exact,accumulate,v,2,exact,accumulate,exact,accumulate,V,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
accuracy,1,36,lowercase_single_word,exact,accuracy,n,2,exact,accuracy,exact,accuracy,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
accustomed,1,38,lowercase_single_word,exact,accustomed,a,1,exact,accustomed,exact,accustomed,A,accustom,accustom:OEWN+MobyWords+MobyPOS,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
acquaintance,1,44,lowercase_single_word,exact,acquaintance,n,3,exact,acquaintance,exact,acquaintance,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
acquisition,1,46,lowercase_single_word,exact,acquisition,n,4,exact,acquisition,exact,acquisition,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
acre,1,47,lowercase_single_word,exact,acre,n,1,exact,acre,exact,acre,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
actual,1,55,lowercase_single_word,exact,actual,a,5,exact,actual,exact,actual,A,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
acute,1,56,lowercase_single_word,exact,acute,a|n,7,exact,acute,exact,acute,A|N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
addicted,1,62,lowercase_single_word,exact,addicted,a,1,exact,addicted,exact,addicted,A,addict,addict:OEWN+MobyWords+MobyPOS,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
adequate,1,65,lowercase_single_word,exact,adequate,a,3,exact,adequate,exact,adequate,A,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
adjustment,1,67,lowercase_single_word,exact,adjustment,n,5,exact,adjustment,exact,adjustment,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
admirable,1,69,lowercase_single_word,exact,admirable,a,2,exact,admirable,exact,admirable,A,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
admission,1,71,lowercase_single_word,exact,admission,n,4,exact,admission,exact,admission,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
adolescence,1,73,lowercase_single_word,exact,adolescence,n,2,exact,adolescence,exact,adolescence,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
adolescent,1,74,lowercase_single_word,exact,adolescent,a|n,5,exact,adolescent,exact,adolescent,A|N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
adore,1,76,lowercase_single_word,exact,adore,v,1,exact,adore,exact,adore,t,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
aeroplane,1,86,lowercase_single_word,exact,aeroplane,n,1,exact,aeroplane,exact,aeroplane,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
affection,1,89,lowercase_single_word,exact,affection,n,1,exact,affection,exact,affection,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
agent,1,102,lowercase_single_word,exact,agent,n,6,exact,agent,exact,agent,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
aggression,1,103,lowercase_single_word,exact,aggression,n,5,exact,aggression,exact,aggression,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
aggressive,1,104,lowercase_single_word,exact,aggressive,a,3,exact,aggressive,exact,aggressive,A,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
agricultural,1,108,lowercase_single_word,exact,agricultural,a,2,none,,exact,agricultural,A,,,none,2,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
AIDS,1,112,all_uppercase,exact,AIDS,n,1,none,,none,,,aid,aid:OEWN+MobyWords+MobyPOS,none,1,special_reference_review,全大写形式可能是缩写、机构名或特殊标签，需单独核实
aircraft,1,115,lowercase_single_word,exact,aircraft,n,1,exact,aircraft,exact,aircraft,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
airmail,1,117,lowercase_single_word,exact,airmail,n|v,3,exact,airmail,none,,,,,none,2,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
airplane,1,118,lowercase_single_word,exact,airplane,n,1,exact,airplane,exact,airplane,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
airspace,1,120,lowercase_single_word,exact,airspace,n,2,exact,airspace,exact,airspace,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
album,1,122,lowercase_single_word,exact,album,n,2,exact,album,exact,album,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
alcoholic,1,124,lowercase_single_word,exact,alcoholic,a|n,3,exact,alcoholic,exact,alcoholic,A|N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
algebra,1,125,lowercase_single_word,exact,algebra,n,1,exact,algebra,exact,algebra,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
alike,1,126,lowercase_single_word,exact,alike,a|r,3,exact,alike,exact,alike,v,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
allergic,1,129,lowercase_single_word,exact,allergic,a,2,exact,allergic,exact,allergic,A,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
alley,1,130,lowercase_single_word,exact,alley,n,2,exact,alley,exact,alley,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
allocate,1,131,lowercase_single_word,exact,allocate,v,1,exact,allocate,exact,allocate,t,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
allowance,1,133,lowercase_single_word,exact,allowance,n|v,7,exact,allowance,exact,allowance,N|t,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
alphabet,1,139,lowercase_single_word,exact,alphabet,n,2,exact,alphabet,exact,alphabet,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
altitude,1,144,lowercase_single_word,exact,altitude,n,3,exact,altitude,exact,altitude,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
aluminium,1,146,lowercase_single_word,exact,aluminium,n,1,exact,aluminium,exact,aluminium,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
amaze,1,151,lowercase_single_word,exact,amaze,v,2,exact,amaze,exact,amaze,N|t,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
ambassador,1,153,lowercase_single_word,exact,ambassador,n,2,exact,ambassador,exact,ambassador,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
ambiguous,1,154,lowercase_single_word,exact,ambiguous,a,3,exact,ambiguous,exact,ambiguous,A,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
ample,1,161,lowercase_single_word,exact,ample,a,3,exact,ample,exact,ample,A,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
amusement,1,163,lowercase_single_word,exact,amusement,n,2,exact,amusement,exact,amusement,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
analysis,1,165,lowercase_single_word,exact,analysis,n,6,exact,analysis,exact,analysis,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
anchor,1,167,lowercase_single_word,exact,anchor,n|v,5,exact,anchor,exact,anchor,N|V,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
anecdote,1,170,lowercase_single_word,exact,anecdote,n,1,exact,anecdote,exact,anecdote,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
anniversary,1,176,lowercase_single_word,exact,anniversary,n,1,exact,anniversary,exact,anniversary,A|N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
announcement,1,178,lowercase_single_word,exact,announcement,n,2,exact,announcement,exact,announcement,N|t,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
Antarctic,1,184,initial_uppercase,exact,Antarctic,a,1,exact,Antarctic,exact,Antarctic,A|N,,,none,3,proper_name_or_capitalization_review,首字母大写形式可能是专名、地域名或误大写，需单独核实
Antarctica,1,186,initial_uppercase,none,,,0,exact,Antarctica,exact,Antarctica,N,,,none,2,proper_name_or_capitalization_review,首字母大写形式可能是专名、地域名或误大写，需单独核实
