legacy_word,legacy_row_count,legacy_rows,structural_type,oewn_match_type,oewn_lemmas,oewn_pos,oewn_sense_count,moby_wordlist_match_type,moby_wordlist_forms,moby_pos_match_type,moby_pos_forms,moby_pos_codes,normalized_headword_candidates,normalized_headword_evidence,existing_phrase_table_match,lexical_evidence_score,recommendation,reason
best-seller,1,417,hyphenated,none,,,0,none,,none,,,,,none,0,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
co-worker,1,898,hyphenated,exact,co-worker,n,1,exact,co-worker,exact,co-worker,N,,,none,3,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
cold-blooded,1,763,hyphenated,exact,cold-blooded,a,2,exact,cold-blooded,exact,cold-blooded,A,,,none,3,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
dining-room,1,1035,hyphenated,exact,dining-room,n,1,none,,none,,,,,none,1,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
easy-going,1,1151,hyphenated,none,,,0,none,,exact,easy-going,A,,,none,1,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
get-together,1,1506,hyphenated,none,,,0,exact,get-together,exact,get-together,N|V,,,none,2,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
hide-and-seek,1,1661,hyphenated,exact,hide-and-seek,n,1,exact,hide-and-seek,exact,hide-and-seek,N,,,none,3,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
kind-hearted,1,1865,hyphenated,exact,kind-hearted,a,1,none,,exact,kind-hearted,A,,,none,2,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
left-handed,1,1920,hyphenated,exact,left-handed,a,6,exact,left-handed,exact,left-handed,A|v,left-hand,left-hand:OEWN+MobyWords+MobyPOS,none,3,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
left-wing,1,1922,hyphenated,exact,left-wing,a,1,none,,none,,,,,none,1,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
letter-box,1,1933,hyphenated,none,,,0,none,,none,,,,,none,0,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
man-made,1,2011,hyphenated,exact,man-made,a,1,exact,man-made,exact,man-made,A,,,none,3,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
mid-autumn,1,2082,hyphenated,none,,,0,none,,none,,,,,none,0,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
night-club,1,2217,hyphenated,none,,,0,none,,exact,night-club,i,,,none,1,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
non-stop,1,2231,hyphenated,none,,,0,none,,none,,,,,none,0,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
non-violent,1,2232,hyphenated,none,,,0,none,,none,,,,,none,0,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
part-time,1,2393,hyphenated,exact,part-time,a|r,2,exact,part-time,exact,part-time,A|v,,,none,3,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
passer-by,1,2398,hyphenated,exact,passer-by,n,1,exact,passer-by,exact,passer-by,N,,,none,3,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
pen-friend,1,2421,hyphenated,exact,pen-friend,n,1,none,,none,,,,,none,1,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
pencil-box,1,2420,hyphenated,none,,,0,none,,none,,,,,none,0,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
