word,bnc_rank,contemporary_rank,relevance_score,oewn_pos,form_review_flags,review_decision,preferred_headword,educational_theme,decision_reason,review_method,review_status
addicted,41488,23549,2,a,possible_participle_or_adjective,promote_to_secondary_review,,人与自我,健康、习惯与社会问题阅读中有明确价值,ai_assisted_explicit_semantic_review,documented_recommendation
backache,22814,29373,3,n,,promote_to_secondary_review,,人与自我,健康与身体主题中的常用症状词,ai_assisted_explicit_semantic_review,documented_recommendation
ballpoint,26210,24069,3,n,,promote_to_secondary_review,,人与社会,学习用品和日常物品主题中有实用价值,ai_assisted_explicit_semantic_review,documented_recommendation
barbershop,,16205,2,n,,promote_to_secondary_review,,人与社会,社区生活和服务场景中有明确价值,ai_assisted_explicit_semantic_review,documented_recommendation
bookmark,27606,20965,3,n,,promote_to_secondary_review,,人与社会,纸质阅读和数字阅读场景均常用,ai_assisted_explicit_semantic_review,documented_recommendation
centigrade,27004,,1,a,,promote_to_secondary_review,,人与自然,温度和科学阅读中仍需识别，后续应与 Celsius 建立变体关系,ai_assisted_explicit_semantic_review,documented_recommendation
customs,,,0,n,possible_plural_or_third_person,promote_to_secondary_review,,人与社会,作为海关和关税的独立集合名词，不按 custom 的普通复数处理,ai_assisted_explicit_semantic_review,documented_recommendation
dictation,20641,21756,3,n,,promote_to_secondary_review,,人与社会,学校学习和语言教学场景中有明确价值,ai_assisted_explicit_semantic_review,documented_recommendation
eastwards,14945,,2,r,possible_plural_or_third_person,promote_to_secondary_review,,人与自然,方向和地理阅读中实用，后续与 eastward 建立词形关系,ai_assisted_explicit_semantic_review,documented_recommendation
eggplant,,10618,2,n,,promote_to_secondary_review,,人与自然,食物、植物及美式英语阅读中常见,ai_assisted_explicit_semantic_review,documented_recommendation
firework,8853,,3,n,,promote_to_secondary_review,,人与社会,节庆、文化和安全主题中常见,ai_assisted_explicit_semantic_review,documented_recommendation
gallon,6013,,3,n,,promote_to_secondary_review,,人与自然,英美计量单位，说明文和生活阅读中需要识别,ai_assisted_explicit_semantic_review,documented_recommendation
hardworking,18992,,2,a,possible_participle_or_gerund,promote_to_secondary_review,,人与自我,人物品质描述中常见，OEWN确认当前拼写为独立词头,ai_assisted_explicit_semantic_review,documented_recommendation
hibernate,24989,21924,3,v,,promote_to_secondary_review,,人与自然,动物、生物与科技休眠语境均有价值,ai_assisted_explicit_semantic_review,documented_recommendation
latest,,,0,a|n,,promote_to_secondary_review,,一般阅读,除规则最高级外还有“最新消息/最新的”词汇化用法,ai_assisted_explicit_semantic_review,documented_recommendation
litre,5726,,3,n,,promote_to_secondary_review,,人与自然,公制容量单位及英式拼写，说明文中实用,ai_assisted_explicit_semantic_review,documented_recommendation
motherland,26292,23389,3,n,,promote_to_secondary_review,,人与社会,国家、文化与身份主题阅读中有价值,ai_assisted_explicit_semantic_review,documented_recommendation
northwards,11689,43874,3,r,possible_plural_or_third_person,promote_to_secondary_review,,人与自然,方向和地理阅读中实用，后续与 northward 建立词形关系,ai_assisted_explicit_semantic_review,documented_recommendation
oilfield,26075,,1,n,,promote_to_secondary_review,,人与自然,能源、资源和环境主题中的常见复合词,ai_assisted_explicit_semantic_review,documented_recommendation
ox,11804,,2,n,,promote_to_secondary_review,,人与自然,动物、农业和文化阅读中的基础名词,ai_assisted_explicit_semantic_review,documented_recommendation
postcode,22564,,1,n,,promote_to_secondary_review,,人与社会,地址、邮政和英式生活场景中实用,ai_assisted_explicit_semantic_review,documented_recommendation
punctual,20448,25334,3,a,,promote_to_secondary_review,,人与自我,时间管理和人物品质主题中的常用形容词,ai_assisted_explicit_semantic_review,documented_recommendation
rewind,26999,20177,3,v,,promote_to_secondary_review,,人与社会,媒体操作及比喻性表达中仍有识别价值,ai_assisted_explicit_semantic_review,documented_recommendation
seashell,42970,19554,3,n,,promote_to_secondary_review,,人与自然,海洋、生物和自然观察主题中有明确价值,ai_assisted_explicit_semantic_review,documented_recommendation
secondhand,15042,,2,a|r,,promote_to_secondary_review,,人与社会,消费、环保和信息来源语境均常用,ai_assisted_explicit_semantic_review,documented_recommendation
skillful,43429,12290,3,a,,promote_to_secondary_review,,人与自我,能力和表现描述中常用，需与英式拼写 skilful 对照,ai_assisted_explicit_semantic_review,documented_recommendation
sneaker,33208,,1,n,,promote_to_secondary_review,,人与社会,服饰、运动和美式英语生活场景中常见,ai_assisted_explicit_semantic_review,documented_recommendation
softball,,8130,3,n,,promote_to_secondary_review,,人与社会,体育和跨文化阅读中的常见运动名词,ai_assisted_explicit_semantic_review,documented_recommendation
stopwatch,34023,20916,3,n,,promote_to_secondary_review,,人与社会,体育计时和实验测量场景中实用,ai_assisted_explicit_semantic_review,documented_recommendation
subtraction,21520,21980,3,n,,promote_to_secondary_review,,人与自然,数学学科阅读中的基础术语,ai_assisted_explicit_semantic_review,documented_recommendation
sunglasses,,7032,3,n,possible_plural_or_third_person,promote_to_secondary_review,,人与自我,虽为固定复数形式，但属于常见生活和健康词,ai_assisted_explicit_semantic_review,documented_recommendation
windbreaker,,18855,2,n,,promote_to_secondary_review,,人与社会,服饰和天气场景中具有实际阅读价值,ai_assisted_explicit_semantic_review,documented_recommendation
workday,42847,13488,3,n,,promote_to_secondary_review,,人与社会,工作制度和日常生活阅读中的常用复合词,ai_assisted_explicit_semantic_review,documented_recommendation
