record_id	phrase	meaning_zh	usage_note_zh	example_en	example_zh	content_method	qa_status	human_review_claimed
PH-C4-0051	screw up	弄糟；犯严重错误	非正式用语，可接事情作宾语，也可单独表示表现失误。	One careless calculation could screw up the entire experiment.	一次粗心的计算就可能把整个实验弄糟。	original_project_authored	draft_auto_validated	false
PH-C4-0052	spin off	衍生；分拆	可表示产生附带成果，也可指企业把部分业务分拆为独立公司。	The research project may spin off several practical inventions.	这个研究项目可能会衍生出几项实用发明。	original_project_authored	draft_auto_validated	false
PH-C4-0053	bail out	救助；帮助脱困；跳伞逃生	可指提供资金或实际援助，也可非正式地表示退出困难局面。	The emergency loan was designed to bail out struggling small firms.	这笔紧急贷款旨在帮助经营困难的小企业脱困。	original_project_authored	draft_auto_validated	false
PH-C4-0054	dispose of	处理掉；处置	后接废物、物品或问题；不能简单理解为“布置”。	Hospitals must dispose of medical waste safely.	医院必须安全处理医疗废物。	original_project_authored	draft_auto_validated	false
PH-C4-0055	excel at	擅长；在某方面表现出色	后接名词或动名词，说明表现特别优秀的领域。	Students who excel at solving problems may enjoy this course.	擅长解决问题的学生可能会喜欢这门课程。	original_project_authored	draft_auto_validated	false
PH-C4-0056	gang up	联合起来对付某人	常与 on 或 against 连用，多指多人不公平地共同攻击或施压。	It is wrong to gang up on someone who holds a different opinion.	联合起来欺负持不同意见的人是不对的。	original_project_authored	draft_auto_validated	false
PH-C4-0057	haul away	拖走；运走	表示用力或借助车辆把重物、垃圾等移走。	Workers will haul away the fallen branches after the storm.	暴风雨后，工人会运走倒下的树枝。	original_project_authored	draft_auto_validated	false
PH-C4-0058	hedge in	围住；限制	可表示用树篱围住，也可比喻规则或环境限制行动自由。	Strict regulations may hedge in the choices available to small firms.	严格规定可能会限制小企业可作出的选择。	original_project_authored	draft_auto_validated	false
PH-C4-0059	lodge in	卡在；留存在	表示小物体嵌入某处，也可指想法或记忆牢牢留在脑中。	A tiny piece of glass can lodge in the skin.	一小片玻璃可能会嵌进皮肤里。	original_project_authored	draft_auto_validated	false
PH-C4-0060	persist in	坚持；执意继续	后接名词或动名词，常指面对反对或困难仍继续某种行为。	If you persist in asking questions, you will eventually understand the topic.	如果你坚持提问，最终会理解这个主题。	original_project_authored	draft_auto_validated	false
PH-C4-0061	pop out	突然出来；短暂外出	非正式用语，可表示某物突然脱出，也可指短时间离开。	One of the buttons may pop out if the case is closed too tightly.	如果盒子关得太紧，其中一个按钮可能会弹出来。	original_project_authored	draft_auto_validated	false
PH-C4-0062	pour forth	涌出；倾泻而出	较书面地表示液体、声音、光线或话语大量连续出现。	Warm light began to pour forth from the open doorway.	温暖的光线开始从敞开的门口倾泻而出。	original_project_authored	draft_auto_validated	false
PH-C4-0063	shed light on	阐明；使某事更清楚	表示提供信息或证据，帮助人们理解复杂或未知的问题。	The new evidence may shed light on the cause of the accident.	新证据可能有助于查明事故原因。	original_project_authored	draft_auto_validated	false
PH-C4-0064	squeeze by	勉强通过；挤过去	可表示从狭窄空间通过，也可指以很小优势或勉强达到标准。	We had to squeeze by the crowd near the entrance.	我们不得不从入口附近的人群中挤过去。	original_project_authored	draft_auto_validated	false
PH-C4-0065	suck up	吸收；吸起；奉承	可表示通过吸力吸收液体，也可与 to 连用表示讨好有权势者。	The dry ground can suck up a surprising amount of rainwater.	干燥的地面能吸收数量惊人的雨水。	original_project_authored	draft_auto_validated	false
PH-C4-0066	sympathize with	同情；理解并赞同	后接遭遇困难的人，或表示理解某种观点和感受。	Many readers sympathize with the character's difficult choice.	许多读者同情这个人物所面临的艰难选择。	original_project_authored	draft_auto_validated	false
PH-C4-0067	tag along	跟随；跟着去	非正式用语，表示受邀或未经特别邀请而跟随他人同行。	My younger brother asked if he could tag along on our hike.	我弟弟问能否跟我们一起徒步。	original_project_authored	draft_auto_validated	false
PH-C4-0068	wipe out	彻底消灭；摧毁；使筋疲力尽	可表示完全清除群体或事物，也可非正式地表示使人非常疲惫。	A single disease could wipe out the entire crop.	一种疾病就可能毁掉全部庄稼。	original_project_authored	draft_auto_validated	false
PH-C4-0069	beg off	请求免除；推辞	表示请求不参加活动或不履行原先承担的责任。	She had to beg off the trip because of a family emergency.	由于家庭突发情况，她不得不请求不参加这次旅行。	original_project_authored	draft_auto_validated	false
PH-C4-0070	blast off	发射升空	指火箭或航天器点火后离开地面。	The rocket is scheduled to blast off just before sunrise.	火箭计划在日出前发射升空。	original_project_authored	draft_auto_validated	false
PH-C4-0071	buck up	振作起来；使振奋	非正式用语，用于鼓励某人改善情绪或更加努力。	Buck up; one disappointing result does not define your ability.	振作起来，一次令人失望的结果并不能定义你的能力。	original_project_authored	draft_auto_validated	false
PH-C4-0072	buckle down	开始认真努力	常与 to 连用，表示不再拖延并专心投入任务。	We need to buckle down and finish the report before Friday.	我们需要认真投入，在星期五前完成报告。	original_project_authored	draft_auto_validated	false
PH-C4-0073	bundle up	穿暖和；捆扎起来	可表示多穿衣服保暖，也可表示把物品扎成一捆。	Bundle up before you go outside in the snow.	去雪地里之前要穿暖和。	original_project_authored	draft_auto_validated	false
PH-C4-0074	cop out	逃避责任；退出	非正式用语，表示找借口逃避应该面对的任务或决定。	Refusing to vote would be an easy way to cop out.	拒绝投票会成为一种轻易逃避责任的方式。	original_project_authored	draft_auto_validated	false
PH-C4-0075	crack up	捧腹大笑；精神崩溃；撞毁	含义取决于语境，可表示突然大笑或无法承受压力。	His imitation made the entire audience crack up.	他的模仿让全场观众捧腹大笑。	original_project_authored	draft_auto_validated	false
PH-C4-0076	curl up	蜷缩；卷曲	表示身体蜷成舒适或保护姿势，也可指纸张边缘卷起。	The cat likes to curl up beside the warm window.	这只猫喜欢蜷缩在温暖的窗边。	original_project_authored	draft_auto_validated	false
PH-C4-0077	dine out	外出就餐	表示在餐馆而不是在家里吃正餐。	Many families dine out to celebrate special occasions.	许多家庭会外出就餐庆祝特殊日子。	original_project_authored	draft_auto_validated	false
PH-C4-0078	fade out	逐渐消失；淡出	可指声音或画面逐渐变弱，也可指某事物慢慢停止出现。	The music will fade out at the end of the scene.	这一幕结束时音乐会渐渐淡出。	original_project_authored	draft_auto_validated	false
PH-C4-0079	hammer out	反复协商后达成；认真制定	表示经过艰苦讨论或努力，最终形成协议、计划或解决方案。	The two groups met overnight to hammer out an agreement.	两个团体彻夜会谈，以达成协议。	original_project_authored	draft_auto_validated	false
PH-C4-0080	opt out	选择不参加；退出	常与 of 连用，表示主动选择不参与某项安排或制度。	Participants may opt out of the study at any time.	参与者可以随时选择退出这项研究。	original_project_authored	draft_auto_validated	false
