legacy_word,legacy_row_count,legacy_rows,oewn_pos,oewn_sense_count,lexical_evidence_score,ecdict_word,ecdict_match_type,ecdict_tags_audit_only,ecdict_gk_tag,bnc_rank,contemporary_rank,bnc_points,contemporary_points,cross_corpus_bonus,relevance_score,frequency_profile,form_review_flags,recommendation,reason
accustomed,1,38,a,1,3,accustomed,exact,gk cet4 cet6 ky toefl,yes,6431,8524,3,3,1,7,strong_in_both_corpora,possible_participle_or_adjective,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
addicted,1,62,a,1,3,addicted,exact,gk toefl,yes,41488,23549,0,1,1,2,limited_frequency,possible_participle_or_adjective,hold_without_more_evidence,独立频率证据较弱或不完整；没有其他证据前暂不纳入；另有词形复核标记
athletics,1,276,n,3,3,athletics,exact,gk gre,yes,9290,8574,3,3,1,7,strong_in_both_corpora,possible_plural_or_third_person,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
bedclothes,1,384,n,1,3,bedclothes,exact,gk,yes,,,0,0,0,0,no_frequency_rank,possible_plural_or_third_person,hold_without_more_evidence,独立频率证据较弱或不完整；没有其他证据前暂不纳入；另有词形复核标记
beginning,1,394,a|n,6,3,beginning,exact,gk cet4 cet6 ky ielts,yes,1242,1200,4,4,1,9,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
besides,1,415,r,2,3,besides,exact,zk gk cet4 ky toefl,yes,3848,3012,4,4,1,9,strong_in_both_corpora,possible_plural_or_third_person,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
boating,1,459,n,1,3,boating,exact,gk,yes,21636,15104,1,2,1,4,moderate_frequency,possible_participle_or_gerund,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核；另有词形复核标记
challenging,1,656,a,3,3,challenging,exact,gk ielts,yes,7647,4981,3,4,1,8,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
clothing,1,747,n,1,3,clothing,exact,gk cet4 ky toefl ielts,yes,3372,2650,4,4,1,9,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
crossing,1,912,n,7,3,crossing,exact,gk toefl,yes,4935,6302,4,3,1,8,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
crossroads,1,913,n,3,3,crossroads,exact,gk,yes,8633,9096,3,3,1,7,strong_in_both_corpora,possible_plural_or_third_person,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
crowded,1,915,a,1,3,crowded,exact,gk,yes,5946,4738,3,4,1,8,strong_in_both_corpora,possible_participle_or_adjective,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
customs,1,932,n,1,3,customs,exact,gk toefl,yes,,,0,0,0,0,no_frequency_rank,possible_plural_or_third_person,hold_without_more_evidence,独立频率证据较弱或不完整；没有其他证据前暂不纳入；另有词形复核标记
deed,1,972,n,2,3,deed,exact,gk cet4 cet6 ky gre,yes,4742,5766,4,3,1,8,strong_in_both_corpora,possible_participle_or_adjective,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
delighted,1,986,a,2,3,delighted,exact,gk,yes,2938,6609,4,3,1,8,strong_in_both_corpora,possible_participle_or_adjective,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
disgusting,1,1064,a,1,3,disgusting,exact,gk,yes,6544,8938,3,3,1,7,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
disturbing,1,1077,a,1,3,disturbing,exact,gk,yes,5532,4827,3,4,1,8,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
drawing,1,1108,n,6,3,drawing,exact,gk cet4 cet6 ky toefl,yes,1892,2521,4,4,1,9,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
eastwards,1,1149,r,1,3,eastwards,exact,gk,yes,14945,,2,0,0,2,single_corpus_only,possible_plural_or_third_person,hold_without_more_evidence,独立频率证据较弱或不完整；没有其他证据前暂不纳入；另有词形复核标记
ending,1,1193,n,5,3,ending,exact,gk cet4 cet6 ky ielts,yes,5246,5188,3,3,1,7,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
f,1,1287,n,1,3,F,casefold,gk,yes,4238,,4,0,0,4,single_corpus_only,single_letter,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核；另有词形复核标记
flaming,1,1377,a|n,3,3,flaming,exact,gk,yes,15457,12654,2,2,1,5,moderate_frequency,possible_participle_or_gerund,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核；另有词形复核标记
following,1,1402,a|n,6,3,following,exact,gk cet4 cet6 ky,yes,748,1471,4,4,1,9,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
freezing,1,1447,n,1,3,freezing,exact,gk,yes,5949,6369,3,3,1,7,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
fried,1,1455,a,1,3,fried,exact,gk,yes,10093,5612,2,3,1,6,strong_with_moderate_cross_corpus_support,possible_participle_or_adjective,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核；另有词形复核标记
gardening,1,1488,n,1,3,gardening,exact,gk,yes,5625,7049,3,3,1,7,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
greeting,1,1565,n,1,3,greeting,exact,zk gk cet4 cet6 ky,yes,6498,6324,3,3,1,7,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
hardworking,1,1612,a,1,2,hardworking,exact,gk,yes,18992,,2,0,0,2,single_corpus_only,possible_participle_or_gerund,hold_without_more_evidence,独立频率证据较弱或不完整；没有其他证据前暂不纳入；另有词形复核标记
hearing,1,1635,a|n,7,3,hearing,exact,gk ky ielts,yes,2480,1711,4,4,1,9,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
leading,1,1909,a|n-1|n-2,6,3,leading,exact,gk cet4 cet6 ky toefl,yes,1551,2188,4,4,1,9,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
learned,1,1914,a,3,3,learned,exact,gk cet4 cet6 ky,yes,6667,10842,3,2,1,6,strong_with_moderate_cross_corpus_support,possible_participle_or_adjective,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核；另有词形复核标记
lightning,1,1947,n,2,3,lightning,exact,gk cet4 cet6 ky,yes,6393,4562,3,4,1,8,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
married,1,2025,a|n,3,3,married,exact,gk cet4 cet6 ky,yes,1742,1610,4,4,1,9,strong_in_both_corpora,possible_participle_or_adjective,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
northwards,1,2240,r,1,3,northwards,exact,gk cet6,yes,11689,43874,2,0,1,3,moderate_frequency,possible_plural_or_third_person,hold_without_more_evidence,独立频率证据较弱或不完整；没有其他证据前暂不纳入；另有词形复核标记
opening,1,2300,a|n,14,3,opening,exact,gk cet4 cet6 ky ielts,yes,1730,1940,4,4,1,9,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
outdoors,1,2333,n|r,2,3,outdoors,exact,gk cet4 cet6 toefl,yes,15004,7559,2,3,1,6,strong_with_moderate_cross_corpus_support,possible_plural_or_third_person,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核；另有词形复核标记
outing,1,2336,n,2,3,outing,exact,gk ky toefl,yes,6382,7723,3,3,1,7,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
painting,1,2368,n,4,3,painting,exact,gk cet4 cet6 ky toefl ielts,yes,1348,1056,4,4,1,9,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
printing,1,2590,n,4,3,printing,exact,gk ielts,yes,4804,7217,4,3,1,8,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
puzzled,1,2645,a,1,2,puzzled,exact,gk,yes,5694,7319,3,3,1,7,strong_in_both_corpora,possible_participle_or_adjective,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
reading,1,2694,n,7,3,reading,exact,gk cet4 cet6 ky ielts,yes,1701,1581,4,4,1,9,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
