record_id,word,dataset_layer,moby_match_status,moby_matched_forms,moby_raw_codes,moby_parts_of_speech,ecdict_presence_status,ecdict_matched_form,manual_fallback_parts_of_speech,combined_parts_of_speech,item_classification,evidence_status
release-word-0023,according to,curriculum,exact,according to,h,noun_phrase,exact,according to,,noun_phrase,curriculum_multiword_expression,supplement_pos_ready
release-word-0067,Africa,curriculum,exact,Africa,N,noun,exact,Africa,,noun|proper_noun,proper_name_or_named_entity,supplement_pos_ready
release-word-0073,against,curriculum,exact,against,P,preposition,exact,against,,preposition,function_word_connector_or_modal,supplement_pos_ready
release-word-0100,although,curriculum,exact,although,C,conjunction,exact,although,,conjunction,function_word_connector_or_modal,supplement_pos_ready
release-word-0109,America,curriculum,exact,America,N,noun,exact,America,,noun|proper_noun,proper_name_or_named_entity,supplement_pos_ready
release-word-0111,among,curriculum,exact,among,P,preposition,exact,among,,preposition,function_word_connector_or_modal,supplement_pos_ready
release-word-0117,and,curriculum,exact,and,C|N,conjunction|noun,exact,and,,conjunction|noun,function_word_connector_or_modal,supplement_pos_ready
release-word-0134,anybody,curriculum,exact,anybody,N|r,noun|pronoun,exact,anybody,,noun|pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-0136,anyone,curriculum,exact,anyone,r,pronoun,exact,anyone,,pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-0137,anything,curriculum,exact,anything,N|r|v,adverb|noun|pronoun,exact,anything,,adverb|noun|pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-0206,Australia,curriculum,exact,Australia,N,noun,exact,Australia,,noun|proper_noun,proper_name_or_named_entity,supplement_pos_ready
release-word-0269,because,curriculum,exact,because,C,conjunction,exact,because,,conjunction,function_word_connector_or_modal,supplement_pos_ready
release-word-0291,beside,curriculum,exact,beside,P|v,adverb|preposition,exact,beside,,adverb|preposition,function_word_connector_or_modal,supplement_pos_ready
release-word-0371,Britain,curriculum,exact,Britain,N,noun,exact,Britain,,noun|proper_noun,proper_name_or_named_entity,supplement_pos_ready
release-word-0396,café,curriculum,none,,,,none,,noun,noun,lexical_or_grammatical_item,supplement_pos_ready
release-word-0412,Canada,curriculum,exact,Canada,N,noun,exact,Canada,,noun|proper_noun,proper_name_or_named_entity,supplement_pos_ready
release-word-0496,China,curriculum,exact,China,N,noun,exact,China,,noun|proper_noun,proper_name_or_named_entity,supplement_pos_ready
release-word-0503,chopsticks,curriculum,exact,chopsticks,p,plural_noun,exact,chopsticks,,plural_noun,lexical_or_grammatical_item,supplement_pos_ready
release-word-0606,Confucius,curriculum,exact,Confucius,N,noun,exact,Confucius,,noun|proper_noun,proper_name_or_named_entity,supplement_pos_ready
release-word-0656,could,curriculum,exact,could,V,verb,exact,could,,verb,lexical_or_grammatical_item,supplement_pos_ready
release-word-0866,due to,curriculum,none,,,,exact,due to,multiword_preposition,multiword_preposition,curriculum_multiword_expression,supplement_pos_ready
release-word-0869,during,curriculum,exact,during,P,preposition,exact,during,,preposition,function_word_connector_or_modal,supplement_pos_ready
release-word-0911,else,curriculum,exact,else,D|v,adverb|determiner_or_article,exact,else,,adverb|determiner_or_article,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-0932,England,curriculum,exact,England,N,noun,exact,England,,noun|proper_noun,proper_name_or_named_entity,supplement_pos_ready
release-word-0975,everybody,curriculum,exact,everybody,r,pronoun,exact,everybody,,pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-0977,everyone,curriculum,exact,everyone,r,pronoun,exact,everyone,,pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-1116,for,curriculum,exact,for,C|P,conjunction|preposition,exact,for,,conjunction|preposition,function_word_connector_or_modal,supplement_pos_ready
release-word-1140,France,curriculum,exact,France,N,noun,exact,France,,noun|proper_noun,proper_name_or_named_entity,supplement_pos_ready
release-word-1157,from,curriculum,exact,from,P,preposition,exact,from,,preposition,function_word_connector_or_modal,supplement_pos_ready
