word	definitions	sense_ids	notes
weak	adjective=虚弱的；薄弱的；稀释的；无力的	weak%3:00:00::|weak%5:00:00:diluted:00|weak%5:00:00:unstressed:00|weak%5:00:00:human:00	
wealth	noun=财富；丰富；大量；富裕	wealth%1:26:00::|wealth%1:07:00::|wealth%1:21:02::|wealth%1:21:00::	
weapon	noun=武器；手段	weapon%1:06:00::|weapon%1:10:00::	
wear	verb=穿；戴；磨损|noun=穿着；磨损；服装	wear%1:26:00::|wear%1:06:00::|wear%1:04:00::|wear%2:29:00::	
weather	noun=天气；气象|verb=经受住；风化|adjective=迎风的	weather%5:00:00:windward:00|weather%1:19:00::|weather%2:42:00::|weather%2:38:00::	
website	noun=网站；站点	website%1:10:00::	
wedding	noun=婚礼；结婚；结合	wedding%1:11:00::|wedding%1:04:00::|wedding%1:14:00::	
Wednesday	proper_noun=星期三	wednesday%1:28:00::	
weed	noun=杂草；水草|verb=除草；淘汰	weed%1:20:00::|weed%1:06:01::|weed%1:06:00::|weed%2:30:00::	
week	noun=星期；一周；工作周	week%1:28:00::|week%1:28:01::|week%1:28:02::	
weekday	noun=工作日；平日	weekday%1:28:00::	
weekend	noun=周末|verb=度周末	weekend%1:28:00::|weekend%2:42:00::	
weekly	adjective=每周的|noun=周刊|adverb=每周一次	weekly%5:00:00:periodic:00|weekly%1:10:00::|weekly%4:02:00::	
weep	verb=哭泣；流泪；渗出液体	weep%2:29:00::	
weigh	verb=称重量；重达；权衡；有影响	weigh%2:42:01::|weigh%2:32:00::|weigh%2:42:00::|weigh%2:42:03::	
weight	noun=重量；体重；重物；重要性|verb=加重量；使负担	weight%1:07:00::|weight%1:06:01::|weight%1:07:01::|weight%1:06:00::	动词义依据基础英语常用义补充。
welcome	verb=欢迎；乐意接受|noun=欢迎；迎接|adjective=受欢迎的	welcome%3:00:00::|welcome%1:26:00::|welcome%1:10:00::|welcome%2:40:00::	
welfare	noun=福利；幸福；社会救济	welfare%1:04:00::|welfare%1:07:00::|welfare%1:26:00::	
well	adverb=好；很好；充分地|adjective=健康的；适宜的|noun=井；泉|verb=涌出	well%3:00:01::|well%5:00:00:fortunate:00|well%5:00:00:advisable:00|well%1:06:00::	副词和动词义依据基础英语常用义补充。
west	noun=西；西方|adjective=西方的|adverb=向西	west%3:00:00::|west%1:24:00::|west%1:24:02::|west%1:15:02::	
western	adjective=西方的；西部的|noun=西部片；西方人	western%3:00:01::|western%3:00:02::|western%5:00:00:west:00|western%5:00:01:west:00	名词义依据基础英语常用义补充。
wet	adjective=湿的；下雨的；未干的|verb=弄湿|noun=湿气；雨天	wet%3:00:01::|wet%3:00:05::|wet%3:00:04::|wet%3:00:02::	动词和名词义依据基础英语常用义补充。
whale	noun=鲸；巨大的事物|verb=捕鲸；猛击	whale%1:18:00::|whale%1:05:00::|whale%2:33:00::	
what	pronoun=什么；何物|determiner=什么样的；所……的|adverb=多么		OEWN无候选释义；依据基础英语疑问词用法原创整理。
whatever	pronoun=无论什么；任何事物|determiner=任何的|adverb=一点也	whatever%5:00:00:some:00	其他词性义依据基础英语常用义补充。
wheat	noun=小麦；小麦粒；麦黄色	wheat%1:20:00::|wheat%1:13:00::|wheat%1:07:00::	
wheel	noun=轮；车轮；方向盘|verb=推；转动；盘旋	wheel%1:06:00::|wheel%1:06:05::|wheel%1:07:00::|wheel%1:06:01::	动词义依据基础英语常用义补充。
when	adverb=什么时候；当时|conjunction=当……时；既然|pronoun=什么时候		OEWN无候选释义；依据基础英语疑问词和连词用法原创整理。
whenever	conjunction=无论何时；每当|adverb=究竟什么时候		OEWN无候选释义；依据基础英语功能词用法原创整理。
where	adverb=在哪里；到哪里|conjunction=在……的地方|pronoun=哪里		OEWN无候选释义；依据基础英语疑问词用法原创整理。
whether	conjunction=是否；不管……还是		OEWN无候选释义；依据基础英语从属连词用法原创整理。
which	pronoun=哪一个；哪些|determiner=哪个；哪些		OEWN无候选释义；依据基础英语疑问词和关系词用法原创整理。
while	conjunction=当……时；而；虽然|noun=一会儿；一段时间|verb=消磨时间	while%1:28:00::	连词和动词义依据基础英语常用义补充。
whisper	verb=耳语；低声说|noun=耳语；低语声；传闻	whisper%1:10:00::|whisper%1:11:00::|whisper%2:32:00::	
white	adjective=白色的；洁白的；空白的|noun=白色；白色物|verb=使变白	white%3:00:01::|white%3:00:02::|white%5:00:00:pure:01|white%5:00:00:covered:00	名词和动词义依据基础英语常用义补充。
who	pronoun=谁；……的人	who%1:14:00::	OEWN候选语义较宽；中文按基础英语疑问及关系代词用法整理。
whole	adjective=全部的；完整的；健康的|noun=整体；全部|adverb=完全地	whole%3:00:00::|whole%3:00:02::|whole%5:00:00:uninjured:00|whole%5:00:00:healthy:00	名词和副词义依据基础英语常用义补充。
whom	pronoun=谁；……的人		OEWN无候选释义；依据基础英语宾格疑问及关系代词用法原创整理。
whose	determiner=谁的；……的|pronoun=谁的东西		OEWN无候选释义；依据基础英语物主疑问及关系词用法原创整理。
why	adverb=为什么；为何|noun=原因；理由	why%1:16:00::	副词义依据基础英语疑问词用法补充。
wide	adjective=宽的；广泛的；充分张开的|adverb=充分地；远离目标地	wide%3:00:00::|wide%5:00:00:comprehensive:00|wide%5:00:00:open:08|wide%5:00:00:large:00	副词义依据基础英语常用义补充。
widespread	adjective=广泛的；普遍的；分布广的	widespread%5:00:00:general:00|widespread%5:00:00:distributed:00	
wife	noun=妻子；太太	wife%1:18:00::	
Wi-Fi	noun=无线网络；无线局域网		OEWN无该技术缩写候选释义；依据通用技术术语原创整理。
wild	adjective=野生的；荒野的；狂热的；失控的|noun=荒野|adverb=失控地	wild%3:00:02::|wild%3:00:01::|wild%5:00:00:passionate:00|wild%5:00:01:uncontrolled:00	名词和副词义依据基础英语常用义补充。
will	modal_verb=将；会；愿意|noun=意志；遗嘱|verb=决意；遗赠	will%1:09:00::|will%1:09:01::|will%1:10:00::|will%2:32:00::	情态动词义依据基础英语语法补充。
win	verb=获胜；赢得；争取到|noun=胜利；赢得之物	win%1:11:00::|win%1:21:00::|win%2:33:00::|win%2:40:00::	
wind	noun=风；气流；呼吸|verb=缠绕；蜿蜒；给……上发条	wind%1:19:00::|wind%1:19:01::|wind%1:04:01::|wind%1:10:01::	动词义依据基础英语常用义补充。
window	noun=窗；窗口；橱窗；时间窗口	window%1:06:00::|window%1:06:01::|window%1:06:02::|window%1:17:00::	
