record_id,word,dataset_layer,parts_of_speech,pos_evidence_source,pos_status
release-word-0001,a,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0002,abandon,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0003,ability,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0004,able,curriculum,adjective,Open English WordNet 2025,pos_evidence_ready
release-word-0005,abnormal,curriculum,adjective,Open English WordNet 2025,pos_evidence_ready
release-word-0006,aboard,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0007,about,curriculum,adjective|adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0008,above,curriculum,adjective|adverb|noun,Open English WordNet 2025,pos_evidence_ready
release-word-0009,abroad,curriculum,adjective|adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0010,absence,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0011,absent,curriculum,adjective|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0012,absolutely,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0013,absorb,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0014,abstract,curriculum,adjective|noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0015,abuse,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0016,academic,curriculum,adjective|noun,Open English WordNet 2025,pos_evidence_ready
release-word-0017,accent,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0018,accept,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0019,access,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0020,accident,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0021,accommodation,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0022,accompany,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0023,according to,curriculum,noun_phrase,Moby POS and/or rule-documented fallback,supplement_pos_ready
release-word-0024,account,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0025,accurate,curriculum,adjective,Open English WordNet 2025,pos_evidence_ready
release-word-0026,accuse,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0027,ache,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0028,achieve,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0029,achievement,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0030,acid,curriculum,adjective|noun,Open English WordNet 2025,pos_evidence_ready
release-word-0031,acknowledge,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0032,acquire,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0033,across,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0034,act,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0035,action,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
