record_id,word,dataset_layer,match_status,matched_lemmas,parts_of_speech,sense_count,lexicographer_classes,english_definitions,semantic_status
release-word-0001,a,curriculum,exact_headword,a,noun,1,noun.communication,the 1st letter of the Roman alphabet,oewn_semantic_base_ready
release-word-0002,abandon,curriculum,exact_headword,abandon,noun|verb,7,noun.attribute|noun.feeling|verb.cognition|verb.motion|verb.possession,"the trait of lacking restraint or control; reckless freedom from inhibition or worry || a feeling of extreme emotional intensity || forsake, leave behind || give up with the intent of never claiming again || leave behind empty; move out of || stop maintaining or insisting on; of ideas or claims || leave someone who needs or counts on you; leave in the lurch",oewn_semantic_base_ready
release-word-0003,ability,curriculum,exact_headword,ability,noun,2,noun.attribute|noun.cognition,the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment || possession of the qualities (especially mental qualities) required to do something or get something done,oewn_semantic_base_ready
release-word-0004,able,curriculum,exact_headword,able,adjective,4,adj.all,(usually followed by ‘to’) having the necessary means or skill or know-how or authority to do something || have the skills and qualifications to do things well || having inherent physical or mental ability or capacity || having a strong healthy body,oewn_semantic_base_ready
release-word-0005,abnormal,curriculum,exact_headword,abnormal,adjective,3,adj.all,not normal; not typical or usual or regular or conforming to a norm || departing from the normal in e.g. intelligence and development || much greater than the normal,oewn_semantic_base_ready
release-word-0006,aboard,curriculum,exact_headword,aboard,adverb,4,adv.all,"on a ship, train, plane or other vehicle || on first or second or third base || side by side || part of a group",oewn_semantic_base_ready
release-word-0007,about,curriculum,exact_headword,about,adjective|adverb,8,adj.all|adv.all,on the move || (of quantities) imprecise but fairly close to correct || all around or on all sides || in the area or vicinity || used of movement to or among many different places or in no particular direction || in or to a reversed position or direction || in rotation or succession || (of actions or states) slightly short of or not quite accomplished; all but,oewn_semantic_base_ready
release-word-0008,above,curriculum,exact_headword,above,adjective|adverb|noun,4,adj.all|adv.all|noun.communication,appearing earlier in the same text || an earlier section of a written text || (in writing) at an earlier place || in or to a place that is higher,oewn_semantic_base_ready
release-word-0009,abroad,curriculum,exact_headword,abroad,adjective|adverb,4,adj.all|adv.all,in a foreign country || to or in a foreign country || far away from home or one's usual surroundings || in a place across an ocean,oewn_semantic_base_ready
release-word-0010,absence,curriculum,exact_headword,absence,noun,4,noun.act|noun.state|noun.time,"the state of being absent || failure to be present || the time interval during which something or somebody is away || the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy",oewn_semantic_base_ready
release-word-0011,absent,curriculum,exact_headword,absent,adjective|verb,4,adj.all|verb.change,not being in a specified place || nonexistent || lost in thought; showing preoccupation || stay away or leave,oewn_semantic_base_ready
release-word-0012,absolutely,curriculum,exact_headword,absolutely,adverb,2,adv.all,completely and without qualification; used informally as intensifiers || totally and definitely; without question,oewn_semantic_base_ready
release-word-0013,absorb,curriculum,exact_headword,absorb,verb,9,verb.change|verb.cognition|verb.contact|verb.possession|verb.weather,"become imbued || take up mentally || take up, as of debts or payments || take in, also metaphorically || cause to become one with || suck or take up or in || devote (oneself) fully to || assimilate or take in || consume all of one's attention or time",oewn_semantic_base_ready
release-word-0014,abstract,curriculum,exact_headword,abstract,adjective|noun|verb,9,adj.all|noun.cognition|noun.communication|verb.cognition|verb.communication|verb.possession,existing only in the mind; separated from embodiment || not representing or imitating external reality or the objects of nature || dealing with a subject in the abstract without practical purpose or intention || a concept or idea not associated with any specific instance || a sketchy summary of the main points of an argument or theory || consider a concept without thinking of a specific example; consider abstractly or theoretically || make off with belongings of others || consider apart from a particular case or instance || give an abstract (of),oewn_semantic_base_ready
release-word-0015,abuse,curriculum,exact_headword,abuse,noun|verb,7,noun.act|noun.communication|verb.change|verb.communication|verb.social,cruel or inhumane treatment || a rude expression intended to offend or hurt || improper or excessive use || treat badly || change the inherent purpose or function of something || use foul or abusive language towards || use wrongly or improperly or excessively,oewn_semantic_base_ready
release-word-0016,academic,curriculum,exact_headword,academic,adjective|noun,4,adj.all|adj.pert|noun.person,associated with academia or an academy || hypothetical or theoretical and not expected to produce an immediate or practical result || marked by a narrow focus on or display of learning especially its trivial aspects || an educator who works at a college or university,oewn_semantic_base_ready
release-word-0017,accent,curriculum,exact_headword,accent,noun|verb,7,noun.communication|noun.state|verb.communication,"distinctive manner of oral expression || special importance or significance || the usage or vocabulary that is characteristic of a specific group of people || the relative prominence of a syllable or musical note (especially with regard to stress or pitch) || a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation || to stress, single out as important || put stress on; utter with an accent",oewn_semantic_base_ready
release-word-0018,accept,curriculum,exact_headword,accept,verb,11,verb.cognition|verb.communication|verb.possession|verb.stative,"consider or hold as true || receive willingly something given or offered || give an affirmative reply to; respond favorably to || react favorably to; consider right and proper || admit into a group or community || take on as one's own the expenses or debts of another person || tolerate or accommodate oneself to || be designed to hold or take || receive (a report) officially, as from a committee || make use of or accept for some purpose || be sexually responsive to, used of a female domesticated mammal",oewn_semantic_base_ready
release-word-0019,access,curriculum,exact_headword,access,noun|verb,8,noun.act|noun.artifact|noun.attribute|noun.communication|verb.motion|verb.possession,the right to enter || the right to obtain or make use of or take advantage of something (as services or membership) || a way of entering or leaving || a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.) || (computer science) the operation of reading or writing stored information || the act of approaching or entering || obtain or retrieve from a storage device; as of information on a computer || reach or gain access to,oewn_semantic_base_ready
release-word-0020,accident,curriculum,exact_headword,accident,noun,2,noun.event,an unfortunate mishap; especially one causing damage or injury || anything that happens suddenly or by chance without an apparent cause,oewn_semantic_base_ready
release-word-0021,accommodation,curriculum,exact_headword,accommodation,noun,6,noun.act|noun.artifact|noun.cognition|noun.communication|noun.event,making or becoming suitable; adjusting to circumstances || a settlement of differences || in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality || living quarters provided for public convenience || the act of providing something (lodging or seat or food) to meet a need || (physiology) the automatic adjustment in focal length of the natural lens of the eye,oewn_semantic_base_ready
release-word-0022,accompany,curriculum,exact_headword,accompany,verb,4,verb.creation|verb.motion|verb.stative,be present or associated with an event or entity || go or travel along with || perform an accompaniment to || be a companion to somebody,oewn_semantic_base_ready
release-word-0023,according to,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0024,account,curriculum,exact_headword,account,noun|verb,14,noun.attribute|noun.communication|noun.motive|noun.possession|noun.state|verb.communication|verb.possession|verb.stative,"a record or narrative description of past events || a short account of the news || a formal contractual relationship established to provide for regular banking or brokerage or business services || a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc. || grounds || importance or value || a statement of recent transactions and the resulting balance || the act of informing by verbal report || an itemized statement of money owed for goods shipped or services rendered || the quality of taking advantage || be the sole or primary factor in the existence, acquisition, supply, or disposal of something || keep an account of || to give an account or representation of in words || furnish a justifying analysis or explanation",oewn_semantic_base_ready
release-word-0025,accurate,curriculum,exact_headword,accurate,adjective,2,adj.all,"conforming exactly or almost exactly to fact or to a standard or performing with total accuracy || (of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct",oewn_semantic_base_ready
release-word-0026,accuse,curriculum,exact_headword,accuse,verb,2,verb.communication,"bring an accusation against; level a charge against || blame for, make a claim of wrongdoing or misbehavior against",oewn_semantic_base_ready
release-word-0027,ache,curriculum,exact_headword,ache,noun|verb,4,noun.state|verb.body|verb.emotion|verb.perception,a dull persistent (usually moderately intense) pain || have a desire for something or someone who is not present || be the source of pain || be in pain,oewn_semantic_base_ready
release-word-0028,achieve,curriculum,exact_headword,achieve,verb,1,verb.social,to gain with effort,oewn_semantic_base_ready
release-word-0029,achievement,curriculum,exact_headword,achievement,noun,1,noun.act,the action of accomplishing something,oewn_semantic_base_ready
release-word-0030,acid,curriculum,exact_headword,acid,adjective|noun,5,adj.all|noun.artifact|noun.substance,harsh or corrosive in tone || being sour to the taste || having the characteristics of an acid || any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt || street name for lysergic acid diethylamide,oewn_semantic_base_ready
release-word-0031,acknowledge,curriculum,exact_headword,acknowledge,verb,6,verb.cognition|verb.communication,"declare to be true or admit the existence or reality or truth of || report the receipt of || express recognition of the presence or existence of, or acquaintance with || express obligation, thanks, or gratitude for || accept as legally binding and valid || accept (someone) to be what is claimed or accept their power and authority",oewn_semantic_base_ready
release-word-0032,acquire,curriculum,exact_headword,acquire,verb,7,verb.body|verb.change|verb.cognition|verb.possession|verb.stative,"come into the possession of something concrete or abstract || take on a certain form, attribute, or aspect || come to have or undergo a change of (physical features and attributes) || locate (a moving entity) by means of a tracking system such as radar || win something through one's efforts || gain knowledge or skills || gain through experience",oewn_semantic_base_ready
release-word-0033,across,curriculum,exact_headword,across,adverb,2,adv.all,to the opposite side || transversely,oewn_semantic_base_ready
release-word-0034,act,curriculum,exact_headword,act,noun|verb,14,noun.Tops|noun.communication|verb.body|verb.competition|verb.creation|verb.social|verb.stative,"a legal document codifying the result of deliberations of a committee or society or legislative body || something that people do or cause to happen || a subdivision of a play or opera or ballet || a short performance that is part of a longer program || a manifestation of insincerity || perform an action, or work out or perform (an action) || behave in a certain manner; show a certain behavior; conduct or comport oneself || play a role or part || discharge one's duties || pretend to have certain qualities or state of mind || be suitable for theatrical performance || have an effect or outcome; often the one desired or expected || behave unnaturally or affectedly || perform on a stage or theater",oewn_semantic_base_ready
release-word-0035,action,curriculum,exact_headword,action,noun|verb,13,noun.act|noun.artifact|noun.attribute|noun.communication|noun.process|noun.state|verb.creation|verb.social,"something done (usually as opposed to something said) || the state of being active || a military engagement || a process existing in or produced by nature (rather than by the intent of human beings) || the series of events that form a plot || the trait of being active and energetic and forceful || the operating part that transmits power to a mechanism || a judicial proceeding brought by one party against another; one party prosecutes another for a wrong done or for protection of a right or for prevention of a wrong || an act by a government body or supranational organization || the most important or interesting work or activity in a specific area or field || In firearms terminology, the mechanism that handles the ammunition (loads, locks, fires, and extracts the cartridges). || institute legal proceedings against; file a suit against || put in effect",oewn_semantic_base_ready
release-word-0036,active,curriculum,exact_headword,active,adjective|noun,17,adj.all|noun.person|noun.relation|noun.substance,tending to become more severe or wider in scope || engaged in or ready for military or naval operations || disposed to take action or effectuate change || taking part in an activity || characterized by energetic activity || exerting influence or producing a change or effect || full of activity or engaged in continuous activity || in operation || (of the sun) characterized by an increased occurrence of sunspots and flares and radio emissions || expressing that the subject of the sentence has the semantic function of actor: || (used of verbs (e.g. ‘to run’) and participial adjectives (e.g. ‘running’ in ‘running water’)) expressing action rather than a state of being || (of e.g. volcanoes) capable of erupting || (of e.g. volcanoes) erupting or liable to erupt || engaged in full-time work || chemical agent capable of activity || the voice used to indicate that the grammatical subject of the verb is performing the action or causing the happening denoted by the verb || a person who is a participating member of an organization,oewn_semantic_base_ready
