phrase,normalized_phrase,word_count,oewn_match,oewn_pos,oewn_sense_ids,oewn_forms,moby_match,moby_forms,tatoeba_cc0_sentence_count,all_components_in_junior_boundary,candidate_status,priority_score,introduced_level_candidate,human_review_claimed
to be,to be,2,false,,,,true,to-be,879,true,moby_corpus_review,101.814,junior,false
out of,out of,2,true,r,out_of%4:02:00::,out of,false,,291,true,evidence_ready_review,86.898,junior,false
more than,more than,2,true,a,more_than%3:00:00::,more than,false,,400,true,evidence_ready_review,86.475,junior,false
a lot,a lot,2,true,r,a_lot%4:02:00::,a lot,false,,242,true,evidence_ready_review,84.248,junior,false
go to,go to,2,true,n|v,go-to%1:06:01::|go_to%2:42:00::,go to|go-to,true,go to,101,true,evidence_ready_review,80.724,junior,false
to do,to do,2,true,n,to-do%1:26:00::,to-do,true,to-do,194,true,evidence_ready_review,80.073,junior,false
according to,according to,2,false,,,,true,according to,192,true,moby_corpus_review,79.925,junior,false
would be,would be,2,true,a,would-be%5:00:00:ambitious:00,would-be,true,would-be,181,true,evidence_ready_review,79.078,junior,false
in this,in this,2,true,r,in_this%4:02:00::,in this,false,,144,true,evidence_ready_review,76.799,junior,false
live in,live in,2,true,v,live_in%2:34:00::,live in,false,,96,true,evidence_ready_review,75.999,junior,false
each other,each other,2,false,,,,true,each other,138,true,moby_corpus_review,75.189,junior,false
a little,a little,2,true,r,a_little%4:02:00::,a little,false,,128,true,evidence_ready_review,75.112,junior,false
as well,as well,2,true,r,as_well%4:02:01::,as well,false,,120,true,evidence_ready_review,74.189,junior,false
come to,come to,2,true,v,come_to%2:29:00::|come_to%2:39:00::|come_to%2:41:00::|come_to%2:42:03::,come to,true,come to,57,true,evidence_ready_review,72.58,junior,false
at least,at least,2,true,r,at_least%4:02:00::|at_least%4:02:01::,at least,false,,101,true,evidence_ready_review,71.724,junior,false
a few,a few,2,true,a,a_few%5:00:00:few:00,a few,false,,142,true,evidence_ready_review,71.599,junior,false
up to,up to,2,true,a,up_to%5:00:00:adequate:00|up_to%5:00:00:busy:00,up to,false,,140,true,evidence_ready_review,71.396,junior,false
kind of,kind of,2,true,r,kind_of%4:02:00::,kind of,false,,95,true,evidence_ready_review,70.85,junior,false
talk about,talk about,2,true,v,talk_about%2:32:00::|talk_about%2:32:01::,talk about,true,talk about,47,true,evidence_ready_review,69.85,junior,false
believe in,believe in,2,true,v,believe_in%2:31:01::,believe in,false,,50,true,evidence_ready_review,66.724,junior,false
do it,do it,2,true,v,do_it%2:35:00::,do it,false,,50,true,evidence_ready_review,66.724,junior,false
look at,look at,2,true,v,look_at%2:31:00::|look_at%2:39:01::,look at,false,,50,true,evidence_ready_review,66.724,junior,false
a bit,a bit,2,true,r,a_bit%4:02:00::,a bit,false,,70,true,evidence_ready_review,66.497,junior,false
at all,at all,2,true,r,at_all%4:02:00::,at all,false,,69,true,evidence_ready_review,66.293,junior,false
make it,make it,2,true,v,make_it%2:41:00::|make_it%2:41:05::|make_it%2:42:00::,make it,false,,48,true,evidence_ready_review,66.147,junior,false
look like,look like,2,true,v,look_like%2:42:00::,look like,false,,47,true,evidence_ready_review,65.85,junior,false
too much,too much,2,true,r,too_much%4:02:00::,too much,false,,58,true,evidence_ready_review,63.826,junior,false
make sure,make sure,2,true,v,make_sure%2:41:00::,make sure,false,,40,true,evidence_ready_review,63.576,junior,false
of course,of course,2,true,r,of_course%4:02:00::,of course,false,,55,true,evidence_ready_review,63.074,junior,false
go back,go back,2,true,v,go_back%2:30:00::|go_back%2:32:00::|go_back%2:42:00::,go back,true,go back,28,true,evidence_ready_review,62.58,junior,false
for example,for example,2,true,r,for_example%4:02:00::,for example,false,,53,true,evidence_ready_review,62.549,junior,false
