sequence,record_id,word,variants,dataset_layer,curriculum_level,parts_of_speech,definitions_zh,selected_source_sense_ids,oewn_match_status,definition_method,qa_status,qa_notes
1,release-word-0001,a,an,curriculum,compulsory_education,article,article：一（个、件等）；任一；每一,,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,按课标中的冠词用法补充；OEWN 候选仅有字母 A 的名词义，未采用。
2,release-word-0002,abandon,,curriculum,high_school_selective_compulsory,verb; noun,verb：放弃；抛弃；遗弃 | noun：放任；放纵,abandon%2:40:00:: | abandon%2:40:01:: | abandon%1:07:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
3,release-word-0003,ability,,curriculum,compulsory_education,noun,noun：能力；才能,ability%1:07:00:: | ability%1:09:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
4,release-word-0004,able,,curriculum,compulsory_education,adjective,adjective：能够；有能力的；能干的,able%3:00:00:: | able%5:00:00:competent:00,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
5,release-word-0005,abnormal,,curriculum,high_school_selective_compulsory,adjective,adjective：不正常的；反常的,abnormal%3:00:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
6,release-word-0006,aboard,,curriculum,high_school_selective_compulsory,adverb,adverb：在船、飞机、火车等交通工具上；上交通工具,aboard%4:02:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
7,release-word-0007,about,,curriculum,compulsory_education,preposition; adverb,preposition：关于；围绕；在……附近 | adverb：大约；到处；在附近,about%4:02:00:: | about%4:02:06:: | about%4:02:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,补充中学阶段常用介词用法；OEWN 候选以副词义为主。
8,release-word-0008,above,,curriculum,compulsory_education,preposition; adjective; adverb,preposition：在……上方；高于；超过 | adjective：上面的；上述的 | adverb：在上面；以上,above%5:00:00:preceding:00 | above%1:10:00:: | above%4:02:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,补充常用介词用法。
9,release-word-0009,abroad,,curriculum,compulsory_education,adverb,adverb：在国外；到国外,abroad%5:00:00:foreign:02 | abroad%4:02:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
10,release-word-0010,absence,,curriculum,high_school_selective_compulsory,noun,noun：缺席；不在；缺乏,absence%1:26:00:: | absence%1:04:00:: | absence%1:28:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
11,release-word-0011,absent,,curriculum,compulsory_education,adjective; verb,adjective：缺席的；不在的；不存在的 | verb：缺席；不参加,absent%3:00:00:: | absent%2:30:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
12,release-word-0012,absolutely,,curriculum,high_school_compulsory,adverb,adverb：绝对地；完全地；当然,absolutely%4:02:00:: | absolutely%4:02:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
13,release-word-0013,absorb,,curriculum,high_school_selective_compulsory,verb,verb：吸收；吸取；理解；使全神贯注,absorb%2:43:00:: | absorb%2:31:00:: | absorb%2:35:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
14,release-word-0014,abstract,,curriculum,high_school_selective_compulsory,adjective; noun,adjective：抽象的；理论上的 | noun：摘要；抽象概念,abstract%3:00:00:: | abstract%1:10:00:: | abstract%1:09:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
15,release-word-0015,abuse,,curriculum,high_school_selective_compulsory,noun; verb,noun：虐待；滥用；辱骂 | verb：虐待；滥用；辱骂,abuse%1:04:02:: | abuse%1:04:01:: | abuse%2:41:00:: | abuse%2:30:02::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
16,release-word-0016,academic,,curriculum,high_school_selective_compulsory,adjective; noun,adjective：学术的；学校教育的；理论性的 | noun：高校教师；学者,academic%3:01:00:: | academic%5:00:00:theoretical:01 | academic%1:18:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
17,release-word-0017,accent,,curriculum,high_school_selective_compulsory,noun; verb,noun：口音；重音；强调 | verb：重读；强调,accent%1:10:01:: | accent%1:10:00:: | accent%2:32:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
18,release-word-0018,accept,,curriculum,compulsory_education,verb,verb：接受；同意；承认；接纳,accept%2:40:00:: | accept%2:32:00:: | accept%2:31:00:: | accept%2:40:03::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
19,release-word-0019,access,,curriculum,high_school_selective_compulsory,noun; verb,noun：进入或使用的权利；通道；访问 | verb：访问；获取；进入,access%1:07:00:: | access%1:07:01:: | access%1:06:00:: | access%2:40:00:: | access%2:38:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
20,release-word-0020,accident,,curriculum,high_school_compulsory,noun,noun：事故；意外事件；偶然,accident%1:11:01:: | accident%1:11:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
21,release-word-0021,accommodation,,curriculum,high_school_selective_compulsory,noun,noun：住处；住宿；适应；调节,accommodation%1:06:00:: | accommodation%1:11:00:: | accommodation%1:04:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
22,release-word-0022,accompany,,curriculum,high_school_selective_compulsory,verb,verb：陪同；伴随；为……伴奏,accompany%2:38:00:: | accompany%2:42:00:: | accompany%2:36:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
23,release-word-0023,according to,,curriculum,compulsory_education,preposition,preposition：根据；按照；据……所说,,no_oewn_match,AI_drafted_from_open_source_semantics,automated_checks_passed,课标原有多词表达；依据其通行语法功能编写，OEWN 无对应义项。
24,release-word-0024,account,,curriculum,high_school_compulsory,noun; verb,noun：账户；账目；叙述；解释 | verb：认为；说明；占（一定比例）,account%1:26:00:: | account%1:10:00:: | account%1:10:04::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
25,release-word-0025,accurate,,curriculum,high_school_selective_compulsory,adjective,adjective：准确的；精确的,accurate%3:00:00:: | accurate%5:00:00:correct:00,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
26,release-word-0026,accuse,,curriculum,high_school_selective_compulsory,verb,verb：指控；控告；谴责,accuse%2:32:00:: | accuse%2:32:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
27,release-word-0027,ache,,curriculum,high_school_compulsory,noun; verb,noun：持续的隐痛 | verb：疼痛；渴望,ache%1:26:00:: | ache%2:39:00:: | ache%2:29:07::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
28,release-word-0028,achieve,,curriculum,compulsory_education,verb,verb：实现；达到；取得,achieve%2:41:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
29,release-word-0029,achievement,,curriculum,high_school_compulsory,noun,noun：成就；成绩；完成,achievement%1:04:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
30,release-word-0030,acid,,curriculum,high_school_selective_compulsory,noun; adjective,noun：酸 | adjective：酸性的；尖刻的,acid%5:00:00:acidic:00 | acid%1:27:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
