legacy_word,legacy_row_count,legacy_rows,oewn_pos,oewn_sense_count,lexical_evidence_score,ecdict_word,ecdict_match_type,ecdict_tags_audit_only,ecdict_gk_tag,bnc_rank,contemporary_rank,bnc_points,contemporary_points,cross_corpus_bonus,relevance_score,frequency_profile,form_review_flags,recommendation,reason
acre,1,47,n,1,3,acre,exact,gk cet4 ky toefl,yes,3286,,4,0,0,4,single_corpus_only,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
admirable,1,69,a,2,3,admirable,exact,gk toefl,yes,8547,10469,3,2,1,6,strong_with_moderate_cross_corpus_support,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
aeroplane,1,86,n,1,3,aeroplane,exact,gk cet4 cet6 ky,yes,6392,30278,3,1,1,5,mixed_between_corpora,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
airplane,1,118,n,1,3,airplane,exact,zk gk cet4,yes,21702,3519,1,4,1,6,mixed_between_corpora,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
airspace,1,120,n,2,3,airspace,exact,gk,yes,23446,16254,1,2,1,4,moderate_frequency,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
algebra,1,125,n,1,3,algebra,exact,gk cet4 cet6 toefl,yes,16477,12790,2,2,1,5,moderate_frequency,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
allergic,1,129,a,2,3,allergic,exact,gk ielts gre,yes,14426,9143,2,3,1,6,strong_with_moderate_cross_corpus_support,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
alphabet,1,139,n,2,3,alphabet,exact,gk cet4 cet6 ky,yes,11157,9190,2,3,1,6,strong_with_moderate_cross_corpus_support,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
aluminium,1,146,n,1,3,aluminium,exact,gk cet4 cet6 toefl gre,yes,5580,32731,3,1,1,5,mixed_between_corpora,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
amaze,1,151,v,2,3,amaze,exact,gk cet4 cet6 ky toefl ielts,yes,11151,8607,2,3,1,6,strong_with_moderate_cross_corpus_support,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
arithmetic,1,236,a|n,2,3,arithmetic,exact,gk cet4 cet6 ky toefl,yes,8791,11378,3,2,1,6,strong_with_moderate_cross_corpus_support,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
astronomy,1,272,n,1,3,astronomy,exact,gk cet6 ky toefl ielts,yes,10702,6469,2,3,1,6,strong_with_moderate_cross_corpus_support,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
attentively,1,287,r,1,2,attentively,exact,gk,yes,19677,18857,2,2,1,5,moderate_frequency,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
bacterium,1,321,n,1,3,bacterium,exact,gk cet6 ky ielts gre,yes,4650,,4,0,0,4,single_corpus_only,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
bandage,1,339,n|v,3,3,bandage,exact,gk cet6 ky ielts gre,yes,10433,9428,2,3,1,6,strong_with_moderate_cross_corpus_support,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
barber,1,345,n|v,2,3,barber,exact,gk cet4 ky toefl ielts,yes,12564,9131,2,3,1,6,strong_with_moderate_cross_corpus_support,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
bathrobe,1,362,n,1,3,bathrobe,exact,gk,yes,33266,13547,1,2,1,4,moderate_frequency,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
bathtub,1,364,n,1,3,bathtub,exact,gk,yes,34329,9766,1,3,1,5,mixed_between_corpora,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
beehive,1,389,n,4,3,beehive,exact,gk,yes,19831,17858,2,2,1,5,moderate_frequency,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
bent,1,413,a|n,7,3,bent,exact,gk toefl ielts gre,yes,14388,12145,2,2,1,5,moderate_frequency,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
bingo,1,428,n,1,3,bingo,exact,gk,yes,12087,15245,2,2,1,5,moderate_frequency,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
biochemistry,1,429,n,1,3,biochemistry,exact,gk toefl,yes,16248,17884,2,2,1,5,moderate_frequency,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
birthplace,1,436,n,2,3,birthplace,exact,gk,yes,11609,11526,2,2,1,5,moderate_frequency,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
boating,1,459,n,1,3,boating,exact,gk,yes,21636,15104,1,2,1,4,moderate_frequency,possible_participle_or_gerund,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核；另有词形复核标记
bookcase,1,467,n,1,3,bookcase,exact,gk ielts,yes,15277,12527,2,2,1,5,moderate_frequency,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
bookshelf,1,469,n,1,3,bookshelf,exact,gk ielts,yes,22136,11170,1,2,1,4,moderate_frequency,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
bookstore,1,471,n,1,3,bookstore,exact,gk,yes,33117,6186,1,3,1,5,mixed_between_corpora,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
botany,1,483,n,2,3,botany,exact,gk toefl gre,yes,15909,20491,2,1,1,4,moderate_frequency,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
bravery,1,502,n,2,3,bravery,exact,gk,yes,11705,12303,2,2,1,5,moderate_frequency,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
breathless,1,511,a,3,3,breathless,exact,gk toefl,yes,8961,10896,3,2,1,6,strong_with_moderate_cross_corpus_support,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
brewery,1,512,n,1,3,brewery,exact,gk,yes,5781,15159,3,2,1,6,strong_with_moderate_cross_corpus_support,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
brotherhood,1,531,n,4,3,brotherhood,exact,gk,yes,11836,13702,2,2,1,5,moderate_frequency,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
brunch,1,533,n|v,2,3,brunch,exact,gk,yes,36288,13712,1,2,1,4,moderate_frequency,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
bungalow,1,544,n,1,3,bungalow,exact,gk ielts,yes,6535,10710,3,2,1,6,strong_with_moderate_cross_corpus_support,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
burglar,1,547,n,1,3,burglar,exact,gk cet6 ky toefl ielts,yes,7271,11050,3,2,1,6,strong_with_moderate_cross_corpus_support,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
bush,1,554,a|n|v,6,3,bush,exact,gk cet4 ky toefl,yes,2801,34013,4,1,1,6,mixed_between_corpora,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
businesswoman,1,557,n,1,3,businesswoman,exact,gk,yes,23054,19286,1,2,1,4,moderate_frequency,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
caption,1,597,n|v,4,3,caption,exact,gk ielts gre,yes,10185,9117,2,3,1,6,strong_with_moderate_cross_corpus_support,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
cheque,1,683,n|v,2,3,cheque,exact,gk cet4 cet6 ky,yes,2753,31750,4,1,1,6,mixed_between_corpora,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
coke,1,761,n|v,3,3,coke,exact,zk gk,yes,7803,12273,3,2,1,6,strong_with_moderate_cross_corpus_support,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
comma,1,777,n,2,3,comma,exact,gk gre,yes,10368,18884,2,2,1,5,moderate_frequency,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
considerate,1,835,a,1,3,considerate,exact,gk cet4 cet6 ky toefl ielts,yes,13960,17092,2,2,1,5,moderate_frequency,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
cooker,1,866,n,1,3,cooker,exact,zk gk,yes,7276,13730,3,2,1,6,strong_with_moderate_cross_corpus_support,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
cordless,1,871,a,1,3,cordless,exact,gk,yes,17375,15786,2,2,1,5,moderate_frequency,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
cosy,1,880,a|n|s,4,3,cosy,exact,gk ky ielts,yes,6933,36003,3,1,1,5,mixed_between_corpora,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
cubic,1,919,a,2,3,cubic,exact,gk cet4 cet6 toefl,yes,10327,7772,2,3,1,6,strong_with_moderate_cross_corpus_support,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
disobey,1,1069,v,1,3,disobey,exact,gk,yes,18583,15476,2,2,1,5,moderate_frequency,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
drier,1,1111,n,2,3,drier,exact,gk,yes,19790,22822,2,1,1,4,moderate_frequency,,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核
