record_id,word,dataset_layer,match_status,matched_lemmas,parts_of_speech,sense_count,lexicographer_classes,english_definitions,semantic_status
release-word-0023,according to,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0067,Africa,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0073,against,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0100,although,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0109,America,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0111,among,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0117,and,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0134,anybody,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0136,anyone,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0137,anything,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0206,Australia,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0269,because,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0291,beside,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0371,Britain,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0396,café,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0412,Canada,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0496,China,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0503,chopsticks,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0606,Confucius,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0656,could,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0866,due to,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0869,during,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0911,else,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0932,England,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0975,everybody,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0977,everyone,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1116,for,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1140,France,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1157,from,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1195,Germany,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1215,goods,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1300,her,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1304,hers,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1305,herself,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1313,him,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1314,himself,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1316,his,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1342,how,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1359,ice-cream,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1366,if,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1392,India,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1435,Internet,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1440,into,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1454,its,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1455,itself,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1459,Japan,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1587,London,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1644,me,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
