record_id,phrase,normalized_phrase,accepted_variants,introduced_level,included_in,phrase_type,evidence_route,form_evidence,oewn_sense_ids,moby_match,tatoeba_cc0_sentence_count,selection_reason,qa_status,human_review_claimed
PH-J-0001,a bit,a bit,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,a_bit%4:02:00::,false,70,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0002,a few,a few,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adjective_expression,approved_dictionary_candidate_pool,OEWN,a_few%5:00:00:few:00,false,142,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0003,a little,a little,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,a_little%4:02:00::,false,128,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0004,a lot,a lot,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,a_lot%4:02:00::,false,242,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0005,according to,according to,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",fixed_structure,approved_dictionary_candidate_pool,Moby,,true,192,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0006,after all,after all,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,after_all%4:02:00::|after_all%4:02:01::,false,8,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0007,all over,all over,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,all_over%4:02:00::|all_over%4:02:01::|all_over%5:00:00:finished:01,false,34,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0008,all right,all right,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,all_right%4:02:00::|all_right%4:02:01::|all_right%4:02:02::|all_right%5:00:00:satisfactory:00,true,4,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0009,all the time,all the time,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,all_the_time%4:02:01::,false,21,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0010,all the way,all the way,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,all_the_way%4:02:03::|all_the_way%4:02:04::|all_the_way%4:02:09::,false,11,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0011,as usual,as usual,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,as_usual%4:02:00::,false,9,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0012,as well,as well,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,as_well%4:02:01::,false,120,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0013,at all,at all,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,at_all%4:02:00::,false,69,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0014,at first,at first,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,at_first%4:02:01::,false,21,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0015,at home,at home,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,at_home%1:14:00::|at_home%4:02:00::|at_home%4:02:01::,true,37,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0016,at last,at last,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,at_last%4:02:00::,false,27,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0017,at least,at least,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,at_least%4:02:00::|at_least%4:02:01::,false,101,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0018,at once,at once,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,at_once%4:02:00::|at_once%4:02:03::,false,25,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0019,at the same time,at the same time,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,at_the_same_time%4:02:03::|at_the_same_time%4:02:05::|at_the_same_time%4:02:06::,false,29,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0020,at a time,at a time,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,at_a_time%4:02:00::,false,23,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0021,at work,at work,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adjective_expression,approved_dictionary_candidate_pool,OEWN,at_work%5:00:00:busy:00,false,16,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0022,by hand,by hand,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,by_hand%4:02:01::,false,8,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0023,by the way,by the way,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,by_the_way%4:02:00::,false,6,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0024,day and night,day and night,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adjective_expression,approved_dictionary_candidate_pool,OEWN,day-and-night%5:00:00:continuous:01,false,6,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0025,each other,each other,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",fixed_structure,approved_dictionary_candidate_pool,Moby,,true,138,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0026,every day,every day,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",fixed_structure,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,false,32,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0027,every week,every week,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,every_week%4:02:00::,false,4,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0028,every year,every year,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,every_year%4:02:00::,false,29,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0029,for a while,for a while,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,for_a_while%4:02:01::,false,14,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0030,for example,for example,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,for_example%4:02:00::,false,53,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0031,for free,for free,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,for_free%4:02:00::,false,8,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0032,for short,for short,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,for_short%4:02:00::,false,6,independently selected for learning value and first-introduction level,english_scope_frozen,False
