word,screening_bucket,oewn_match_type,oewn_pos,decision,reason,review_method
battleground,modern_lexical_review,exact,n,include,社会、历史和新闻阅读中的常见复合名词,ai_assisted_explicit_semantic_review
bodybuilding,modern_lexical_review,exact,n,include,体育、健康和生活方式主题中的独立名词,ai_assisted_explicit_semantic_review
bookshop,modern_lexical_review,exact,n,include,学习和社区生活中的常见英式复合词,ai_assisted_explicit_semantic_review
chips,modern_lexical_review,exact,n,include,食物义为固定复数形式，不能简单还原为单数义,ai_assisted_explicit_semantic_review
firefighter,modern_lexical_review,exact,n,include,公共安全和职业主题中的现代中性称谓,ai_assisted_explicit_semantic_review
founding,modern_lexical_review,exact,n,include,历史、机构和社会主题中的词汇化名词,ai_assisted_explicit_semantic_review
furnished,modern_lexical_review,exact,a,include,住房和生活场景中的常用形容词,ai_assisted_explicit_semantic_review
hey,legacy_lexicon_review,none,,include,高频口语和对话阅读中的常用感叹词,ai_assisted_explicit_semantic_review
judgement,modern_lexical_review,exact,n,include,一般阅读中的常用名词及英式拼写,ai_assisted_explicit_semantic_review
microcomputer,modern_lexical_review,exact,n,include,科技史和计算机主题中仍需识别,ai_assisted_explicit_semantic_review
nursing,modern_lexical_review,exact,n,include,健康、职业和社会照护主题中的独立名词,ai_assisted_explicit_semantic_review
oh,legacy_lexicon_review,none,,include,高频对话和叙事文本中的常用感叹词,ai_assisted_explicit_semantic_review
oneself,legacy_lexicon_review,none,,include,语法和一般阅读中的常用反身代词,ai_assisted_explicit_semantic_review
organiser,modern_lexical_review,exact,n,include,活动和组织主题中的常用英式拼写,ai_assisted_explicit_semantic_review
ouch,legacy_lexicon_review,none,,include,对话和身体感受表达中的常用感叹词,ai_assisted_explicit_semantic_review
ought,legacy_lexicon_review,none,,merge_into_curriculum_expression,课标母表已原文收录 ought to，不重复建立扩展词头,ai_assisted_explicit_semantic_review
pleased,modern_lexical_review,exact,a,include,情感和交际主题中的词汇化形容词,ai_assisted_explicit_semantic_review
seagull,modern_lexical_review,exact,n,include,自然和海洋主题中的常见动物名词,ai_assisted_explicit_semantic_review
sharpener,modern_lexical_review,exact,n,include,学校用品主题中的常用派生名词,ai_assisted_explicit_semantic_review
sightseeing,modern_lexical_review,exact,n,include,旅行和文化主题中的词汇化名词,ai_assisted_explicit_semantic_review
theirs,legacy_lexicon_review,none,,include,语法和一般阅读中的常用物主代词,ai_assisted_explicit_semantic_review
via,legacy_lexicon_review,none,,include,高频路线、媒介和书面连接表达,ai_assisted_explicit_semantic_review
videophone,legacy_lexicon_review,none,,exclude,技术词已明显过时且独立频率较低,ai_assisted_explicit_semantic_review
walkman,modern_lexical_review,casefold,n,exclude,来源涉及品牌化名称且设备已经过时，不进入通用主表,ai_assisted_explicit_semantic_review
westwards,modern_lexical_review,exact,r,include,方向和地理阅读中的有效英式词形,ai_assisted_explicit_semantic_review
whichever,legacy_lexicon_review,none,,include,语法和一般阅读中的常用限定词/代词,ai_assisted_explicit_semantic_review
workforce,modern_lexical_review,exact,n,include,经济、就业和社会主题中的高价值名词,ai_assisted_explicit_semantic_review
workmate,modern_lexical_review,exact,n,include,工作和人际关系主题中的常见英式名词,ai_assisted_explicit_semantic_review
workplace,modern_lexical_review,exact,n,include,就业、安全和社会主题中的高价值名词,ai_assisted_explicit_semantic_review
yourselves,legacy_lexicon_review,none,,include,语法和一般阅读中的固定反身代词形式,ai_assisted_explicit_semantic_review
yummy,modern_lexical_review,exact,a,exclude,口语色彩强且教育覆盖价值有限,ai_assisted_explicit_semantic_review
