phrase,normalized_phrase,word_count,minimum_lexical_level,oewn_match,oewn_pos,oewn_sense_ids,moby_match,tatoeba_cc0_sentence_count,candidate_status,priority_score,human_review_claimed
to be,to be,2,junior,false,,,true,879,moby_corpus_review,101.814,false
out of,out of,2,junior,true,r,out_of%4:02:00::,false,291,evidence_ready_review,86.898,false
more than,more than,2,junior,true,a,more_than%3:00:00::,false,400,evidence_ready_review,86.475,false
a lot,a lot,2,junior,true,r,a_lot%4:02:00::,false,242,evidence_ready_review,84.248,false
go to,go to,2,junior,true,n|v,go-to%1:06:01::|go_to%2:42:00::,true,101,evidence_ready_review,80.724,false
to do,to do,2,junior,true,n,to-do%1:26:00::,true,194,evidence_ready_review,80.073,false
according to,according to,2,junior,false,,,true,192,moby_corpus_review,79.925,false
would be,would be,2,junior,true,a,would-be%5:00:00:ambitious:00,true,181,evidence_ready_review,79.078,false
in this,in this,2,junior,true,r,in_this%4:02:00::,false,144,evidence_ready_review,76.799,false
live in,live in,2,junior,true,v,live_in%2:34:00::,false,96,evidence_ready_review,75.999,false
each other,each other,2,junior,false,,,true,138,moby_corpus_review,75.189,false
a little,a little,2,junior,true,r,a_little%4:02:00::,false,128,evidence_ready_review,75.112,false
as well,as well,2,junior,true,r,as_well%4:02:01::,false,120,evidence_ready_review,74.189,false
come to,come to,2,junior,true,v,come_to%2:29:00::|come_to%2:39:00::|come_to%2:41:00::|come_to%2:42:03::,true,57,evidence_ready_review,72.58,false
at least,at least,2,junior,true,r,at_least%4:02:00::|at_least%4:02:01::,false,101,evidence_ready_review,71.724,false
a few,a few,2,junior,true,a,a_few%5:00:00:few:00,false,142,evidence_ready_review,71.599,false
up to,up to,2,junior,true,a,up_to%5:00:00:adequate:00|up_to%5:00:00:busy:00,false,140,evidence_ready_review,71.396,false
kind of,kind of,2,junior,true,r,kind_of%4:02:00::,false,95,evidence_ready_review,70.85,false
talk about,talk about,2,junior,true,v,talk_about%2:32:00::|talk_about%2:32:01::,true,47,evidence_ready_review,69.85,false
believe in,believe in,2,junior,true,v,believe_in%2:31:01::,false,50,evidence_ready_review,66.724,false
do it,do it,2,junior,true,v,do_it%2:35:00::,false,50,evidence_ready_review,66.724,false
look at,look at,2,junior,true,v,look_at%2:31:00::|look_at%2:39:01::,false,50,evidence_ready_review,66.724,false
a bit,a bit,2,junior,true,r,a_bit%4:02:00::,false,70,evidence_ready_review,66.497,false
at all,at all,2,junior,true,r,at_all%4:02:00::,false,69,evidence_ready_review,66.293,false
make it,make it,2,junior,true,v,make_it%2:41:00::|make_it%2:41:05::|make_it%2:42:00::,false,48,evidence_ready_review,66.147,false
