infinitive,slot,form,evidence_type,source
arise,past_tense,arose,oewn_verb_exception,Open English WordNet 2025 verb.exc
arise,past_participle,arisen,oewn_verb_exception,Open English WordNet 2025 verb.exc
be,past_tense,was,oewn_verb_exception,Open English WordNet 2025 verb.exc
be,past_tense,were,oewn_verb_exception,Open English WordNet 2025 verb.exc
be,past_participle,been,oewn_verb_exception,Open English WordNet 2025 verb.exc
beat,past_tense,beat,same_spelling_irregular_form,project_rule_documentation
beat,past_participle,beaten,oewn_verb_exception,Open English WordNet 2025 verb.exc
become,past_tense,became,oewn_verb_exception,Open English WordNet 2025 verb.exc
become,past_participle,become,same_spelling_irregular_form,project_rule_documentation
begin,past_tense,began,oewn_verb_exception,Open English WordNet 2025 verb.exc
begin,past_participle,begun,oewn_verb_exception,Open English WordNet 2025 verb.exc
bend,past_tense,bent,oewn_verb_exception,Open English WordNet 2025 verb.exc
bend,past_participle,bent,oewn_verb_exception,Open English WordNet 2025 verb.exc
bet,past_tense,bet,same_spelling_irregular_form,project_rule_documentation
bet,past_tense,betted,oewn_verb_exception,Open English WordNet 2025 verb.exc
bet,past_participle,bet,same_spelling_irregular_form,project_rule_documentation
bet,past_participle,betted,oewn_verb_exception,Open English WordNet 2025 verb.exc
bite,past_tense,bit,oewn_verb_exception,Open English WordNet 2025 verb.exc
bite,past_participle,bitten,oewn_verb_exception,Open English WordNet 2025 verb.exc
bleed,past_tense,bled,oewn_verb_exception,Open English WordNet 2025 verb.exc
bleed,past_participle,bled,oewn_verb_exception,Open English WordNet 2025 verb.exc
blow,past_tense,blew,oewn_verb_exception,Open English WordNet 2025 verb.exc
blow,past_participle,blown,oewn_verb_exception,Open English WordNet 2025 verb.exc
break,past_tense,broke,oewn_verb_exception,Open English WordNet 2025 verb.exc
break,past_participle,broken,oewn_verb_exception,Open English WordNet 2025 verb.exc
bring,past_tense,brought,oewn_verb_exception,Open English WordNet 2025 verb.exc
bring,past_participle,brought,oewn_verb_exception,Open English WordNet 2025 verb.exc
broadcast,past_tense,broadcast,same_spelling_irregular_form,project_rule_documentation
broadcast,past_participle,broadcast,same_spelling_irregular_form,project_rule_documentation
build,past_tense,built,oewn_verb_exception,Open English WordNet 2025 verb.exc
build,past_participle,built,oewn_verb_exception,Open English WordNet 2025 verb.exc
burn,past_tense,burned,productive_regular_variant,project_rule_documentation
burn,past_tense,burnt,oewn_verb_exception,Open English WordNet 2025 verb.exc
burn,past_participle,burned,productive_regular_variant,project_rule_documentation
burn,past_participle,burnt,oewn_verb_exception,Open English WordNet 2025 verb.exc
burst,past_tense,burst,same_spelling_irregular_form,project_rule_documentation
burst,past_participle,burst,same_spelling_irregular_form,project_rule_documentation
buy,past_tense,bought,oewn_verb_exception,Open English WordNet 2025 verb.exc
buy,past_participle,bought,oewn_verb_exception,Open English WordNet 2025 verb.exc
can,past_tense,could,historical_modal_form,project_rule_documentation
can,past_participle,,not_applicable_modal,project_usage_analysis
catch,past_tense,caught,oewn_verb_exception,Open English WordNet 2025 verb.exc
catch,past_participle,caught,oewn_verb_exception,Open English WordNet 2025 verb.exc
choose,past_tense,chose,oewn_verb_exception,Open English WordNet 2025 verb.exc
choose,past_participle,chosen,oewn_verb_exception,Open English WordNet 2025 verb.exc
come,past_tense,came,oewn_verb_exception,Open English WordNet 2025 verb.exc
come,past_participle,come,same_spelling_irregular_form,project_rule_documentation
cost,past_tense,cost,same_spelling_irregular_form,project_rule_documentation
cost,past_participle,cost,same_spelling_irregular_form,project_rule_documentation
