legacy_word,legacy_row_count,legacy_rows,structural_type,oewn_match_type,oewn_lemmas,oewn_pos,oewn_sense_count,moby_wordlist_match_type,moby_wordlist_forms,moby_pos_match_type,moby_pos_forms,moby_pos_codes,normalized_headword_candidates,normalized_headword_evidence,existing_phrase_table_match,lexical_evidence_score,recommendation,reason
bank account,1,342,multiword,exact,bank account,n,1,exact,bank account,exact,bank account,h,,,none,3,move_to_phrase_review,多词表达不进入单词扩展表；转入短语候选复核
boat race,1,458,multiword,exact,boat race,n,1,exact,boat race,exact,boat race,h,,,none,3,move_to_phrase_review,多词表达不进入单词扩展表；转入短语候选复核
bus stop,1,553,multiword,exact,bus stop,n,1,none,,exact,bus stop,h,,,none,2,move_to_phrase_review,多词表达不进入单词扩展表；转入短语候选复核
can opener,1,583,multiword,exact,can opener,n,1,exact,can opener,exact,can opener,h,,,none,3,move_to_phrase_review,多词表达不进入单词扩展表；转入短语候选复核
card games,1,601,multiword,none,,,0,none,,none,,,card game,card game:OEWN,none,0,move_to_phrase_review,多词表达不进入单词扩展表；转入短语候选复核
chain store,1,650,multiword,exact,chain store,n,1,exact,chain store,exact,chain store,h,,,none,3,move_to_phrase_review,多词表达不进入单词扩展表；转入短语候选复核
cheer up,1,675,multiword,exact,cheer up,v,2,none,,none,,,,,none,1,move_to_phrase_review,多词表达不进入单词扩展表；转入短语候选复核
Christmas card,1,705,multiword,exact,Christmas card,n,1,exact,Christmas card,exact,Christmas card,h,,,none,3,move_to_phrase_review,多词表达不进入单词扩展表；转入短语候选复核
Christmas Eve,1,707,multiword,exact,Christmas Eve,n,1,exact,Christmas Eve,exact,Christmas Eve,h,,,none,3,move_to_phrase_review,多词表达不进入单词扩展表；转入短语候选复核
Christmas tree,1,706,multiword,exact,Christmas tree,n,5,exact,Christmas tree,exact,Christmas tree,h,,,none,3,move_to_phrase_review,多词表达不进入单词扩展表；转入短语候选复核
computer game,1,806,multiword,exact,computer game,n,1,none,,none,,,,,none,1,move_to_phrase_review,多词表达不进入单词扩展表；转入短语候选复核
department store,1,991,multiword,exact,department store,n,1,exact,department store,exact,department store,h,,,none,3,move_to_phrase_review,多词表达不进入单词扩展表；转入短语候选复核
family name,1,1304,multiword,exact,family name,n,1,exact,family name,exact,family name,h,,,none,3,move_to_phrase_review,多词表达不进入单词扩展表；转入短语候选复核
fitting room,1,1372,multiword,none,,,0,none,,none,,,,,none,0,move_to_phrase_review,多词表达不进入单词扩展表；转入短语候选复核
from mouth to mouth,1,2154,multiword,none,,,0,none,,none,,,,,none,0,move_to_phrase_review,多词表达不进入单词扩展表；转入短语候选复核
fruit juice,1,1467,multiword,exact,fruit juice,n,1,none,,none,,,,,none,1,move_to_phrase_review,多词表达不进入单词扩展表；转入短语候选复核
garbage can,1,582,multiword,exact,garbage can,n,1,exact,garbage can,exact,garbage can,h,,,none,3,move_to_phrase_review,多词表达不进入单词扩展表；转入短语候选复核
gold medal,1,2049,multiword,exact,gold medal,n,1,none,,exact,gold medal,h,,,none,2,move_to_phrase_review,多词表达不进入单词扩展表；转入短语候选复核
Hong Kong,1,1685,multiword,none,,,0,exact,Hong Kong,exact,Hong Kong,h,,,none,2,move_to_phrase_review,多词表达不进入单词扩展表；转入短语候选复核
hot dog,1,1698,multiword,exact,hot dog,n,3,exact,hot dog,exact,hot dog,h,,,none,3,move_to_phrase_review,多词表达不进入单词扩展表；转入短语候选复核
human being,1,1710,multiword,exact,human being,n,1,exact,human being,exact,human being,h,,,none,3,move_to_phrase_review,多词表达不进入单词扩展表；转入短语候选复核
information desk,1,1764,multiword,none,,,0,none,,none,,,,,none,0,move_to_phrase_review,多词表达不进入单词扩展表；转入短语候选复核
junk food,1,1848,multiword,exact,junk food,n,1,none,,none,,,,,none,1,move_to_phrase_review,多词表达不进入单词扩展表；转入短语候选复核
junk mail,1,1847,multiword,exact,junk mail,n,1,none,,exact,junk mail,h,,,none,2,move_to_phrase_review,多词表达不进入单词扩展表；转入短语候选复核
