sequence,phrase,normalized_phrase,introduced_level,evidence_route,form_evidence,oewn_pos,oewn_sense_ids,moby_match,tatoeba_cc0_sentence_count,minimum_lexical_level,editorial_status,human_review_claimed
1,sort of,sort of,senior_high,approved_dictionary_candidate_pool,OEWN,r,sort_of%4:02:00::,false,40,senior_high,selected_for_cross_level_review,false
2,in addition,in addition,senior_high,approved_dictionary_candidate_pool,OEWN,r,in_addition%4:02:01::,false,31,senior_high,selected_for_cross_level_review,false
3,in particular,in particular,senior_high,approved_dictionary_candidate_pool,OEWN,r,in_particular%4:02:00::,false,13,senior_high,selected_for_cross_level_review,false
4,for instance,for instance,senior_high,approved_dictionary_candidate_pool,OEWN,r,for_instance%4:02:00::,false,11,senior_high,selected_for_cross_level_review,false
5,in advance,in advance,senior_high,approved_dictionary_candidate_pool,OEWN,a|r,in_advance%4:02:00::|in_advance%5:00:00:front:00,false,8,senior_high,selected_for_cross_level_review,false
6,in reality,in reality,senior_high,approved_dictionary_candidate_pool,OEWN,r,in_reality%4:02:00::,false,7,senior_high,selected_for_cross_level_review,false
7,in detail,in detail,senior_high,approved_dictionary_candidate_pool,OEWN,r,in_detail%4:02:00::,false,6,senior_high,selected_for_cross_level_review,false
8,on the contrary,on the contrary,senior_high,approved_dictionary_candidate_pool,OEWN,r,on_the_contrary%4:02:02::,false,6,senior_high,selected_for_cross_level_review,false
9,on the spot,on the spot,senior_high,approved_dictionary_candidate_pool,OEWN,a|r,on-the-spot%5:00:00:on-site:00|on_the_spot%4:02:00::|on_the_spot%4:02:01::|on_the_spot%4:02:02::,false,4,senior_high,selected_for_cross_level_review,false
10,out of sight,out of sight,senior_high,approved_dictionary_candidate_pool,OEWN,a|r,out_of_sight%4:02:00::|out_of_sight%4:02:01::|out_of_sight%5:00:00:invisible:00,false,4,senior_high,selected_for_cross_level_review,false
11,at random,at random,senior_high,approved_dictionary_candidate_pool,OEWN,r,at_random%4:02:00::,false,4,senior_high,selected_for_cross_level_review,false
12,by no means,by no means,senior_high,approved_dictionary_candidate_pool,OEWN,r,by_no_means%4:02:00::,false,4,senior_high,selected_for_cross_level_review,false
13,in theory,in theory,senior_high,approved_dictionary_candidate_pool,OEWN,r,in_theory%4:02:01::,false,3,senior_high,selected_for_cross_level_review,false
14,at any rate,at any rate,senior_high,approved_dictionary_candidate_pool,OEWN,r,at_any_rate%4:02:00::|at_any_rate%4:02:01::,false,2,senior_high,selected_for_cross_level_review,false
15,free of charge,free of charge,senior_high,approved_dictionary_candidate_pool,OEWN,r,free_of_charge%4:02:00::,false,2,senior_high,selected_for_cross_level_review,false
16,in full swing,in full swing,senior_high,approved_dictionary_candidate_pool,OEWN,r,in_full_swing%4:02:00::,false,2,senior_high,selected_for_cross_level_review,false
17,on a regular basis,on a regular basis,senior_high,approved_dictionary_candidate_pool,OEWN,r,on_a_regular_basis%4:02:00::,false,2,senior_high,selected_for_cross_level_review,false
18,for the time being,for the time being,senior_high,approved_dictionary_candidate_pool,OEWN,r,for_the_time_being%4:02:02::,false,1,senior_high,selected_for_cross_level_review,false
19,at bay,at bay,senior_high,approved_dictionary_candidate_pool,OEWN,a,at_bay%5:00:00:unfree:00,false,2,senior_high,selected_for_cross_level_review,false
20,in operation,in operation,senior_high,approved_dictionary_candidate_pool,OEWN,a,in_operation%5:00:01:operative:00,false,2,senior_high,selected_for_cross_level_review,false
21,on the loose,on the loose,senior_high,approved_dictionary_candidate_pool,OEWN,a,on_the_loose%5:00:00:free:00,false,2,senior_high,selected_for_cross_level_review,false
22,on trial,on trial,senior_high,approved_dictionary_candidate_pool,OEWN,a,on_trial%5:00:00:unproved:00,false,2,senior_high,selected_for_cross_level_review,false
23,at length,at length,senior_high,approved_dictionary_candidate_pool,OEWN,r,at_length%4:02:00::,false,1,senior_high,selected_for_cross_level_review,false
24,on occasion,on occasion,senior_high,approved_dictionary_candidate_pool,OEWN,r,on_occasion%4:02:00::,false,1,senior_high,selected_for_cross_level_review,false
