word,bnc_rank,contemporary_rank,relevance_score,oewn_pos,form_review_flags,review_decision,preferred_headword,educational_theme,decision_reason,review_method,review_status
addicted,41488,23549,2,a,possible_participle_or_adjective,promote_to_secondary_review,,人与自我,健康、习惯与社会问题阅读中有明确价值,ai_assisted_explicit_semantic_review,documented_recommendation
airmail,27385,31683,3,n|v,,retain_on_hold,,人与社会,邮政义项明确，但现代使用场景减少且频率支持较弱,ai_assisted_explicit_semantic_review,documented_recommendation
backache,22814,29373,3,n,,promote_to_secondary_review,,人与自我,健康与身体主题中的常用症状词,ai_assisted_explicit_semantic_review,documented_recommendation
ballpoint,26210,24069,3,n,,promote_to_secondary_review,,人与社会,学习用品和日常物品主题中有实用价值,ai_assisted_explicit_semantic_review,documented_recommendation
barbershop,,16205,2,n,,promote_to_secondary_review,,人与社会,社区生活和服务场景中有明确价值,ai_assisted_explicit_semantic_review,documented_recommendation
bedclothes,,,0,n,possible_plural_or_third_person,merge_with_preferred_headword,bedding,人与自我,与更通用的集合词 bedding 高度重合，避免重复收词,ai_assisted_explicit_semantic_review,documented_recommendation
birdcage,44688,32730,2,n,,retain_on_hold,,人与自然,词义明确但属于透明复合词，独立学习收益有限,ai_assisted_explicit_semantic_review,documented_recommendation
bookmark,27606,20965,3,n,,promote_to_secondary_review,,人与社会,纸质阅读和数字阅读场景均常用,ai_assisted_explicit_semantic_review,documented_recommendation
centigrade,27004,,1,a,,promote_to_secondary_review,,人与自然,温度和科学阅读中仍需识别，后续应与 Celsius 建立变体关系,ai_assisted_explicit_semantic_review,documented_recommendation
changeable,20685,21649,3,a,,retain_on_hold,,一般阅读,词义常见但可由 change 规则派生，独立收录价值需控制,ai_assisted_explicit_semantic_review,documented_recommendation
customs,,,0,n,possible_plural_or_third_person,promote_to_secondary_review,,人与社会,作为海关和关税的独立集合名词，不按 custom 的普通复数处理,ai_assisted_explicit_semantic_review,documented_recommendation
dictation,20641,21756,3,n,,promote_to_secondary_review,,人与社会,学校学习和语言教学场景中有明确价值,ai_assisted_explicit_semantic_review,documented_recommendation
eastwards,14945,,2,r,possible_plural_or_third_person,promote_to_secondary_review,,人与自然,方向和地理阅读中实用，后续与 eastward 建立词形关系,ai_assisted_explicit_semantic_review,documented_recommendation
eggplant,,10618,2,n,,promote_to_secondary_review,,人与自然,食物、植物及美式英语阅读中常见,ai_assisted_explicit_semantic_review,documented_recommendation
firework,8853,,3,n,,promote_to_secondary_review,,人与社会,节庆、文化和安全主题中常见,ai_assisted_explicit_semantic_review,documented_recommendation
franc,7261,,3,n,,retain_on_hold,,人与社会,主要用于历史货币语境，现代通用学习价值有限,ai_assisted_explicit_semantic_review,documented_recommendation
gallon,6013,,3,n,,promote_to_secondary_review,,人与自然,英美计量单位，说明文和生活阅读中需要识别,ai_assisted_explicit_semantic_review,documented_recommendation
glasshouse,22763,39029,3,n,,merge_with_preferred_headword,greenhouse,人与自然,与课标词 greenhouse 同义度高，优先保留课标词头,ai_assisted_explicit_semantic_review,documented_recommendation
greengrocer,20056,31343,3,n,,retain_on_hold,,人与社会,英式地域色彩和透明复合结构较强，需控制扩展规模,ai_assisted_explicit_semantic_review,documented_recommendation
gruel,36700,25887,3,n,,retain_on_hold,,人与自我,多见于历史或文学饮食语境，现代频率和适用面有限,ai_assisted_explicit_semantic_review,documented_recommendation
hardworking,18992,,2,a,possible_participle_or_gerund,promote_to_secondary_review,,人与自我,人物品质描述中常见，OEWN确认当前拼写为独立词头,ai_assisted_explicit_semantic_review,documented_recommendation
hibernate,24989,21924,3,v,,promote_to_secondary_review,,人与自然,动物、生物与科技休眠语境均有价值,ai_assisted_explicit_semantic_review,documented_recommendation
hooray,21582,23679,3,n,,retain_on_hold,,人与社会,口语感叹用法明确，但不宜由名词频率直接决定收录,ai_assisted_explicit_semantic_review,documented_recommendation
latest,,,0,a|n,,promote_to_secondary_review,,一般阅读,除规则最高级外还有“最新消息/最新的”词汇化用法,ai_assisted_explicit_semantic_review,documented_recommendation
litre,5726,,3,n,,promote_to_secondary_review,,人与自然,公制容量单位及英式拼写，说明文中实用,ai_assisted_explicit_semantic_review,documented_recommendation
miniskirt,45253,20289,2,n,,retain_on_hold,,人与社会,服饰词义明确，但主题覆盖和阅读必要性有限,ai_assisted_explicit_semantic_review,documented_recommendation
motherland,26292,23389,3,n,,promote_to_secondary_review,,人与社会,国家、文化与身份主题阅读中有价值,ai_assisted_explicit_semantic_review,documented_recommendation
necktie,42992,17026,3,n,,merge_with_preferred_headword,tie,人与社会,课标词 tie 已覆盖核心物品义，避免同义重复扩张,ai_assisted_explicit_semantic_review,documented_recommendation
northwards,11689,43874,3,r,possible_plural_or_third_person,promote_to_secondary_review,,人与自然,方向和地理阅读中实用，后续与 northward 建立词形关系,ai_assisted_explicit_semantic_review,documented_recommendation
