token,earliest_level,document_levels,source_ids,source_entry_count,source_entries
a,junior,junior|cet4|cet6,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,3,a.m. || a/an || ★ encyclop(a)edia
abandon,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,abandon || abandon**
abbreviation,cet6,cet6,cet-english-2016-revised-word-list,1,★ abbreviation
abide,cet6,cet6,cet-english-2016-revised-word-list,1,★ abide
ability,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,ability || able ability
able,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,able || able ability
abnormal,senior_high,senior_high|cet6,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,abnormal** || ★ abnormal
aboard,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,aboard || aboard**
abolish,cet4,cet4,cet-english-2016-revised-word-list,1,abolish abolition
abolition,cet4,cet4,cet-english-2016-revised-word-list,1,abolish abolition
abort,cet6,cet6,cet-english-2016-revised-word-list,1,★ abort abortion
abortion,cet6,cet6,cet-english-2016-revised-word-list,1,★ abort abortion
about,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,about
above,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,above
abreast,cet6,cet6,cet-english-2016-revised-word-list,1,★ abreast
abroad,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,abroad
abrupt,cet6,cet6,cet-english-2016-revised-word-list,1,★ abrupt
absence,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,absence** || absent absence
absent,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,absent || absent absence
absolute,cet4,cet4,cet-english-2016-revised-word-list,1,absolute
absolutely,senior_high,senior_high,moe-hs-english-2017-2025-appendix-2,1,absolutely*
