queue_id,word,legacy_candidate_form,queue_route,relevance_score,bnc_rank,contemporary_rank,part_of_speech,oewn_lexicographer_classes,theme_candidates,review_focus,current_status,definitions_zh,phonetic_uk,phonetic_us
secondary-review-0001,acre,acre,original_medium_frequency,4,3286,,n,noun.quantity,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0002,addicted,addicted,promoted_from_low_frequency_semantic_review,2,41488,23549,a,adj.all,人与自我,健康、习惯与社会问题阅读中有明确价值,pending_explicit_semantic_decision,,,
secondary-review-0003,admirable,admirable,original_medium_frequency,6,8547,10469,a,adj.all,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0004,aeroplane,aeroplane,original_medium_frequency,5,6392,30278,n,noun.artifact,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0005,airplane,airplane,original_medium_frequency,6,21702,3519,n,noun.artifact,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0006,airspace,airspace,original_medium_frequency,4,23446,16254,n,noun.location,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0007,algebra,algebra,original_medium_frequency,5,16477,12790,n,noun.cognition,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0008,allergic,allergic,original_medium_frequency,6,14426,9143,a,adj.all|adj.pert,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0009,alphabet,alphabet,original_medium_frequency,6,11157,9190,n,noun.cognition|noun.communication,人与自我|人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0010,aluminium,aluminium,original_medium_frequency,5,5580,32731,n,noun.substance,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0011,amaze,amaze,original_medium_frequency,6,11151,8607,v,verb.cognition,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0012,arithmetic,arithmetic,original_medium_frequency,6,8791,11378,a|n,adj.pert|noun.cognition,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0013,astronomy,astronomy,original_medium_frequency,6,10702,6469,n,noun.cognition,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0014,attentively,attentively,original_medium_frequency,5,19677,18857,r,adv.all,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0015,backache,backache,promoted_from_low_frequency_semantic_review,3,22814,29373,n,noun.state,人与自我,健康与身体主题中的常用症状词,pending_explicit_semantic_decision,,,
secondary-review-0016,bacterium,bacterium,original_medium_frequency,4,4650,,n,noun.animal,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0017,ballpoint,ballpoint,promoted_from_low_frequency_semantic_review,3,26210,24069,n,noun.artifact,人与社会,学习用品和日常物品主题中有实用价值,pending_explicit_semantic_decision,,,
secondary-review-0018,bandage,bandage,original_medium_frequency,6,10433,9428,n|v,noun.artifact|verb.body|verb.contact,人与自我|人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0019,barber,barber,original_medium_frequency,6,12564,9131,n|v,noun.person|verb.body,人与自我|人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0020,barbershop,barbershop,promoted_from_low_frequency_semantic_review,2,,16205,n,noun.artifact,人与社会,社区生活和服务场景中有明确价值,pending_explicit_semantic_decision,,,
secondary-review-0021,bathrobe,bathrobe,original_medium_frequency,4,33266,13547,n,noun.artifact,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
