sequence,phrase,normalized_phrase,introduced_level,evidence_route,form_evidence,oewn_pos,oewn_sense_ids,moby_match,tatoeba_cc0_sentence_count,minimum_lexical_level,editorial_status,human_review_claimed
1,in vain,in vain,cet4,approved_dictionary_candidate_pool,OEWN,r,in_vain%4:02:00::,false,9,cet4,selected_for_cross_level_review,false
2,in writing,in writing,cet4,approved_dictionary_candidate_pool,OEWN,a|r,in_writing%4:02:00::|in_writing%5:00:00:written:00,false,4,cet4,selected_for_cross_level_review,false
3,in the meantime,in the meantime,cet4,approved_dictionary_candidate_pool,OEWN,r,in_the_meantime%4:02:00::,false,4,cet4,selected_for_cross_level_review,false
4,in earnest,in earnest,cet4,approved_dictionary_candidate_pool,OEWN,r,in_earnest%4:02:00::,false,3,cet4,selected_for_cross_level_review,false
5,in hiding,in hiding,cet4,approved_dictionary_candidate_pool,OEWN,r,in_hiding%4:02:00::,false,3,cet4,selected_for_cross_level_review,false
6,in the beginning,in the beginning,cet4,approved_dictionary_candidate_pool,OEWN,r,in_the_beginning%4:02:00::|in_the_beginning%4:02:01::,false,3,cet4,selected_for_cross_level_review,false
7,over the counter,over the counter,cet4,approved_dictionary_candidate_pool,OEWN,a,over-the-counter%3:00:00::|over-the-counter%5:00:00:unlisted:00,true,5,cet4,selected_for_cross_level_review,false
8,at stake,at stake,cet4,approved_dictionary_candidate_pool,OEWN,r,at_stake%4:02:00::|at_stake%4:02:01::,false,1,cet4,selected_for_cross_level_review,false
9,from scratch,from scratch,cet4,approved_dictionary_candidate_pool,OEWN,r,from_scratch%4:02:00::,false,1,cet4,selected_for_cross_level_review,false
10,in haste,in haste,cet4,approved_dictionary_candidate_pool,OEWN,r,in_haste%4:02:01::,false,1,cet4,selected_for_cross_level_review,false
11,at odds,at odds,cet4,approved_dictionary_candidate_pool,OEWN,a,at_odds%5:00:00:inconsistent:00,false,2,cet4,selected_for_cross_level_review,false
12,back and forth,back and forth,cet4,approved_dictionary_candidate_pool,OEWN,r,back_and_forth%4:02:00::,true,2,cet4,selected_for_cross_level_review,false
13,and so forth,and so forth,cet4,approved_dictionary_candidate_pool,OEWN,r,and_so_forth%4:02:00::,false,3,cet4,selected_for_cross_level_review,false
14,off the hook,off the hook,cet4,approved_dictionary_candidate_pool,OEWN,a,off_the_hook%5:00:00:safe:01,false,2,cet4,selected_for_cross_level_review,false
15,last resort,last resort,cet4,approved_dictionary_candidate_pool,OEWN,n,last_resort%1:04:00::,false,4,cet4,selected_for_cross_level_review,false
16,no nonsense,no nonsense,cet4,approved_dictionary_candidate_pool,OEWN,a,no-nonsense%5:00:00:direct:02,false,3,cet4,selected_for_cross_level_review,false
17,at first glance,at first glance,cet4,approved_dictionary_candidate_pool,OEWN,r,at_first_glance%4:02:00::|at_first_glance%4:02:01::,false,3,cet4,selected_for_cross_level_review,false
18,in accordance with,in accordance with,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,1,manual_stage_check,selected_for_cross_level_review,false
19,in terms of,in terms of,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,12,manual_stage_check,selected_for_cross_level_review,false
20,with regard to,with regard to,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,1,manual_stage_check,selected_for_cross_level_review,false
21,on behalf of,on behalf of,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,5,manual_stage_check,selected_for_cross_level_review,false
22,as a matter of fact,as a matter of fact,cet4,approved_dictionary_candidate_pool,OEWN,r,as_a_matter_of_fact%4:02:00::,false,0,junior,selected_for_cross_level_review,false
23,for the sake of,for the sake of,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,7,manual_stage_check,selected_for_cross_level_review,false
24,in favor of,in favor of,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,15,manual_stage_check,selected_for_cross_level_review,false
25,in charge of,in charge of,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,10,manual_stage_check,selected_for_cross_level_review,false
26,in response to,in response to,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,11,manual_stage_check,selected_for_cross_level_review,false
