legacy_word,source_issue,supported_headword,supported_headword_in_curriculum,oewn_exact_lemma,oewn_pos,resolution,reason
accustomed,possible_participle_or_adjective,accustom,no,yes,a,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
addicted,possible_participle_or_adjective,addict,yes,yes,a,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
athletics,possible_plural_or_third_person,athletic,no,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
bedclothes,possible_plural_or_third_person,,no,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
beddings,inflected_form_review,bedding,no,no,,replace_with_normalized_extension_headword,将旧表面形式规范为开放词典支持的词头 bedding，再单独评分
beginning,possible_participle_or_gerund,begin,yes,yes,a|n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
besides,possible_plural_or_third_person,,no,yes,r,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
boating,possible_participle_or_gerund,boat,yes,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
challenging,possible_participle_or_gerund,challenge,yes,yes,a,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
cheers,inflected_form_review,cheer,yes,no,,exclude_redundant_inflection_of_curriculum,还原词头 cheer 已在课标母表中；旧屈折形式不另作独立扩展词
clothing,possible_participle_or_gerund,cloth,yes,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
crossing,possible_participle_or_gerund,,no,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
crossroads,possible_plural_or_third_person,crossroad,no,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
crowded,possible_participle_or_adjective,crowd,yes,yes,a,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
customs,possible_plural_or_third_person,custom,yes,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
deed,possible_participle_or_adjective,,no,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
delighted,possible_participle_or_adjective,delight,no,yes,a,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
disgusting,possible_participle_or_gerund,disgust,no,yes,a,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
disturbing,possible_participle_or_gerund,disturb,yes,yes,a,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
does,inflected_form_review,do,yes,no,,exclude_redundant_inflection_of_curriculum,还原词头 do 已在课标母表中；旧屈折形式不另作独立扩展词
