word,selection_route,relevance_score,part_of_speech,theme_candidates,selection_reason
sunrise,original_medium_frequency,6,a|n,人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
pineapple,original_medium_frequency,6,n,人与自我|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
haircut,original_medium_frequency,6,n,人与自我|人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
translator,original_medium_frequency,6,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
telegram,original_medium_frequency,6,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
seaside,original_medium_frequency,6,n,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
coke,original_medium_frequency,6,n|v,人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
quilt,original_medium_frequency,6,n|v,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
fragrant,original_medium_frequency,6,a,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入
fingernail,original_medium_frequency,6,n,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入
spaghetti,original_medium_frequency,6,n,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入
irrigation,original_medium_frequency,6,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
barber,original_medium_frequency,6,n|v,人与自我|人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
numb,original_medium_frequency,6,a|v,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入
mistaken,original_medium_frequency,6,a,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入
unimportant,original_medium_frequency,6,a,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入
shopkeeper,original_medium_frequency,6,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
melon,original_medium_frequency,6,n,人与自我|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
gale,original_medium_frequency,6,n,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
mouthful,original_medium_frequency,6,n,人与自我|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
postage,original_medium_frequency,6,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
stout,original_medium_frequency,6,a|n,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入
spade,original_medium_frequency,6,n|v,人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
unfit,original_medium_frequency,6,a|v,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
cooker,original_medium_frequency,6,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
refreshment,normalized_legacy_surface_form,6,n,人与自我|人与社会,确认规范词头的主题价值；不得恢复旧复数形式
allergic,original_medium_frequency,6,a,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入
juicy,original_medium_frequency,6,a,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入
worn,original_medium_frequency,6,a,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入
tram,original_medium_frequency,6,n|v,人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
outdoors,original_medium_frequency,6,n|r,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
brewery,original_medium_frequency,6,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
vanilla,original_medium_frequency,6,a|n,人与自我|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
moustache,original_medium_frequency,6,n,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入
firefighter,lexical_edge_semantic_review,,n,一般阅读,公共安全和职业主题中的现代中性称谓
granny,original_medium_frequency,6,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
lavatory,original_medium_frequency,6,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
eyewitness,original_medium_frequency,6,n|v,人与自我|人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
offence,original_medium_frequency,6,n,人与自我|人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
sidewalk,original_medium_frequency,6,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
fortnight,original_medium_frequency,6,n,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
enquiry,original_medium_frequency,6,n,人与自我|人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
lorry,original_medium_frequency,6,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
graph,original_medium_frequency,6,n|v,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
telegraph,original_medium_frequency,6,n|v,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
cheque,original_medium_frequency,6,n|v,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
bush,original_medium_frequency,6,a|n|v,人与自我|人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
harbour,original_medium_frequency,6,n|v,人与自我|人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
rectangle,original_medium_frequency,5,n,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
yawn,original_medium_frequency,5,n|v,人与自我|人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
shabby,original_medium_frequency,5,a,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入
unconditional,original_medium_frequency,5,a,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入
birthplace,original_medium_frequency,5,n,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
hive,original_medium_frequency,5,n|v,人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
thirst,original_medium_frequency,5,n|v,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入
untrue,original_medium_frequency,5,a,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入
bravery,original_medium_frequency,5,n,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入
mop,original_medium_frequency,5,n|v,人与自我|人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
fright,original_medium_frequency,5,n|v,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入
overcoat,original_medium_frequency,5,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
tortoise,original_medium_frequency,5,n,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
brotherhood,original_medium_frequency,5,n,人与自我|人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
mountainous,original_medium_frequency,5,a,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入
fluency,original_medium_frequency,5,n,人与自我|人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
bent,original_medium_frequency,5,a|n,人与自我|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
grocer,original_medium_frequency,5,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
loudspeaker,original_medium_frequency,5,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
sparrow,original_medium_frequency,5,n,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
eyesight,original_medium_frequency,5,n,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入
seaweed,original_medium_frequency,5,n,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
smelly,original_medium_frequency,5,a,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入
redirect,original_medium_frequency,5,v,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
wag,original_medium_frequency,5,n|v,人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
ripen,original_medium_frequency,5,v,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
raincoat,original_medium_frequency,5,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
bingo,original_medium_frequency,5,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
bookcase,original_medium_frequency,5,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
firewood,original_medium_frequency,5,n,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
toothbrush,original_medium_frequency,5,n,人与自我|人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
flaming,original_medium_frequency,5,a|n,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入
teamwork,original_medium_frequency,5,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
lemonade,original_medium_frequency,5,n,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入
hilly,original_medium_frequency,5,a,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入
spoonful,original_medium_frequency,5,n,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
toothpaste,original_medium_frequency,5,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
scold,original_medium_frequency,5,n|v,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
punctuation,original_medium_frequency,5,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
zebra,original_medium_frequency,5,n,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
sightseeing,lexical_edge_semantic_review,,n,一般阅读,旅行和文化主题中的词汇化名词
noisily,original_medium_frequency,5,r,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入
goldfish,original_medium_frequency,5,n,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
spaceship,original_medium_frequency,5,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
algebra,original_medium_frequency,5,n,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入
squid,original_medium_frequency,5,n,人与自我|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
considerate,original_medium_frequency,5,a,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入
cordless,original_medium_frequency,5,a,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入
biochemistry,original_medium_frequency,5,n,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入
tiresome,original_medium_frequency,5,a,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入
