word	definitions	sense_ids	notes
flesh	noun=肉；肌肉；果肉|verb=使充实	flesh%1:08:02::|flesh%1:08:01::|flesh%1:20:00::|flesh%2:40:00::	
float	verb=漂浮；飘动；提出；使流通|noun=浮子；彩车；备用零钱	float%2:38:00::|float%2:35:04::|float%2:31:00::|float%1:06:02::|float%1:21:00::	
fog	noun=雾；迷惑|verb=使模糊；起雾	fog%1:19:00::|fog%1:09:00::|fog%2:39:00::	
following	adjective=接下来的；下列的|noun=追随者；拥护者	following%5:00:01:succeeding:00|following%3:00:00::|following%1:14:00::	
fool	noun=傻瓜；受骗者|verb=愚弄；欺骗；胡闹	fool%1:18:00::|fool%1:18:01::|fool%2:41:00::|fool%2:32:00::	
foolish	adjective=愚蠢的；不明智的	foolish%3:00:00::|foolish%5:00:00:stupid:00	
forbid	verb=禁止；不准；阻止	forbid%2:32:00::|forbid%2:41:03::	
foreigner	noun=外国人；外来者	foreigner%1:18:00::|foreigner%1:18:01::	
foresee	verb=预见；预知；预料	foresee%2:31:00::|foresee%2:36:00::|foresee%2:41:00::	
fortunate	adjective=幸运的；吉利的；有福的	fortunate%3:00:00::|fortunate%5:00:00:blessed:00|fortunate%5:00:00:auspicious:00	
fortune	noun=运气；命运；财富；机遇	fortune%1:19:00::|fortune%1:19:01::|fortune%1:21:00::|fortune%1:26:00::	
founding	noun=建立；创办；奠基	founding%1:04:00::	
fragile	adjective=易碎的；脆弱的；纤弱的	fragile%5:00:00:breakable:00|fragile%5:00:00:delicate:00|fragile%5:00:00:insignificant:00	
framework	noun=框架；结构；体系	framework%1:09:00::|framework%1:07:00::|framework%1:06:00::	
freezing	adjective=极冷的；冰冻的|noun=冻结；结冰	freezing%1:22:00::	形容词义据词形和开放语义证据独立概括
frequent	adjective=频繁的；常见的|verb=常去；常到	frequent%3:00:00::|frequent%5:00:00:common:01|frequent%2:41:00::|frequent%2:38:00::	
fried	adjective=油炸的；油煎的	fried%5:00:00:cooked:00	
frighten	verb=使害怕；吓唬	frighten%2:37:00::	
funeral	noun=葬礼；丧礼	funeral%1:11:00::	
