word,variants,part_of_speech,theme_candidates,selection_route,relevance_score,selection_reason
abolish,,v,人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 3736；当代语料 7490；评分 8/9）
abortion,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 4341；当代语料 1969；评分 9/9）
abrupt,,a,一般阅读,strong_independent_frequency,7,独立语料频率支持较强（BNC 8560；当代语料 8703；评分 7/9）
absolute,,a|n,人与自我,strong_independent_frequency,9,独立语料频率支持较强（BNC 2420；当代语料 3165；评分 9/9）
absurd,,a|n,一般阅读,strong_independent_frequency,7,独立语料频率支持较强（BNC 5676；当代语料 5901；评分 7/9）
abundant,,a,一般阅读,strong_independent_frequency,7,独立语料频率支持较强（BNC 7823；当代语料 6223；评分 7/9）
academy,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 4366；当代语料 4895；评分 9/9）
accelerate,,v,人与自然,strong_independent_frequency,8,独立语料频率支持较强（BNC 5328；当代语料 4925；评分 8/9）
accessible,,a,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 4162；当代语料 4377；评分 9/9）
accomplish,,v,人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 5546；当代语料 2345；评分 8/9）
accountant,,n,人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 3280；当代语料 5949；评分 8/9）
accumulate,,v,人与社会|人与自然,strong_independent_frequency,8,独立语料频率支持较强（BNC 4997；当代语料 5083；评分 8/9）
accuracy,,n,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 3958；当代语料 4076；评分 9/9）
accustomed,,a,一般阅读,strong_independent_frequency,7,独立语料频率支持较强（BNC 6431；当代语料 8524；评分 7/9）
acquaintance,,n,人与自我|人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 5967；当代语料 6274；评分 7/9）
acquisition,,n,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 2567；当代语料 3856；评分 9/9）
acre,,n,人与自然,original_medium_frequency,4,结合高中阅读主题、词族冗余和英美变体决定是否纳入
actual,,a,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 1396；当代语料 1739；评分 9/9）
