word,queue_route,relevance_score,decision,preferred_headword,reason
acre,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
addicted,promoted_from_low_frequency_semantic_review,2,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
admirable,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
aeroplane,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
airplane,original_medium_frequency,6,merge_as_variant,aeroplane,与 aeroplane 为正字法变体，合并避免重复计数
airspace,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
algebra,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
allergic,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
alphabet,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
aluminium,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
amaze,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
arithmetic,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
astronomy,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
attentively,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
backache,promoted_from_low_frequency_semantic_review,3,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
bacterium,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
ballpoint,promoted_from_low_frequency_semantic_review,3,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
bandage,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
barber,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
barbershop,promoted_from_low_frequency_semantic_review,2,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
bathrobe,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
bathtub,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
bedding,normalized_legacy_surface_form,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
beehive,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
bent,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
bingo,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
biochemistry,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
birthplace,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
boating,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
bookcase,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
bookmark,promoted_from_low_frequency_semantic_review,3,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
bookshelf,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
bookstore,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
botany,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
bravery,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
breathless,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
brewery,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
brotherhood,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
brunch,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
bungalow,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
burglar,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
bush,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
businesswoman,original_medium_frequency,4,exclude_gendered_occupation,,通用词表优先采用不限定性别的职业表达
caption,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
centigrade,promoted_from_low_frequency_semantic_review,1,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
cheque,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
coke,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
comma,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
considerate,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
cooker,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
cordless,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
cosy,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
cubic,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
customs,promoted_from_low_frequency_semantic_review,0,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
dictation,promoted_from_low_frequency_semantic_review,3,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
disobey,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
drier,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
dustbin,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
eastwards,promoted_from_low_frequency_semantic_review,2,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
eggplant,promoted_from_low_frequency_semantic_review,2,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
enquiry,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
eyesight,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
eyewitness,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
fingernail,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
firewood,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
firework,promoted_from_low_frequency_semantic_review,3,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
flaming,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
flashlight,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
fluency,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
