序号,单词,词性,中文释义,释义状态,自动检查,来源义项ID,补充说明
0001,a,article,article. 一（个、件等）；任一；每一,AI初稿完成,通过,,按课标中的冠词用法补充；OEWN 候选仅有字母 A 的名词义，未采用。
0002,abandon,verb；noun,verb. 放弃；抛弃；遗弃；noun. 放任；放纵,AI初稿完成,通过,abandon%2:40:00::|abandon%2:40:01::|abandon%1:07:00::,
0003,ability,noun,noun. 能力；才能,AI初稿完成,通过,ability%1:07:00::|ability%1:09:00::,
0004,able,adjective,adjective. 能够；有能力的；能干的,AI初稿完成,通过,able%3:00:00::|able%5:00:00:competent:00,
0005,abnormal,adjective,adjective. 不正常的；反常的,AI初稿完成,通过,abnormal%3:00:00::,
0006,aboard,adverb,adverb. 在船、飞机、火车等交通工具上；上交通工具,AI初稿完成,通过,aboard%4:02:01::,
0007,about,preposition；adverb,preposition. 关于；围绕；在……附近；adverb. 大约；到处；在附近,AI初稿完成,通过,about%4:02:00::|about%4:02:06::|about%4:02:01::,补充中学阶段常用介词用法；OEWN 候选以副词义为主。
0008,above,preposition；adjective；adverb,preposition. 在……上方；高于；超过；adjective. 上面的；上述的；adverb. 在上面；以上,AI初稿完成,通过,above%5:00:00:preceding:00|above%1:10:00::|above%4:02:01::,补充常用介词用法。
0009,abroad,adverb,adverb. 在国外；到国外,AI初稿完成,通过,abroad%5:00:00:foreign:02|abroad%4:02:00::,
0010,absence,noun,noun. 缺席；不在；缺乏,AI初稿完成,通过,absence%1:26:00::|absence%1:04:00::|absence%1:28:00::,
0011,absent,adjective；verb,adjective. 缺席的；不在的；不存在的；verb. 缺席；不参加,AI初稿完成,通过,absent%3:00:00::|absent%2:30:00::,
0012,absolutely,adverb,adverb. 绝对地；完全地；当然,AI初稿完成,通过,absolutely%4:02:00::|absolutely%4:02:01::,
0013,absorb,verb,verb. 吸收；吸取；理解；使全神贯注,AI初稿完成,通过,absorb%2:43:00::|absorb%2:31:00::|absorb%2:35:00::,
0014,abstract,adjective；noun,adjective. 抽象的；理论上的；noun. 摘要；抽象概念,AI初稿完成,通过,abstract%3:00:00::|abstract%1:10:00::|abstract%1:09:00::,
0015,abuse,noun；verb,noun. 虐待；滥用；辱骂；verb. 虐待；滥用；辱骂,AI初稿完成,通过,abuse%1:04:02::|abuse%1:04:01::|abuse%2:41:00::|abuse%2:30:02::,
0016,academic,adjective；noun,adjective. 学术的；学校教育的；理论性的；noun. 高校教师；学者,AI初稿完成,通过,academic%3:01:00::|academic%5:00:00:theoretical:01|academic%1:18:00::,
0017,accent,noun；verb,noun. 口音；重音；强调；verb. 重读；强调,AI初稿完成,通过,accent%1:10:01::|accent%1:10:00::|accent%2:32:01::,
0018,accept,verb,verb. 接受；同意；承认；接纳,AI初稿完成,通过,accept%2:40:00::|accept%2:32:00::|accept%2:31:00::|accept%2:40:03::,
0019,access,noun；verb,noun. 进入或使用的权利；通道；访问；verb. 访问；获取；进入,AI初稿完成,通过,access%1:07:00::|access%1:07:01::|access%1:06:00::|access%2:40:00::|access%2:38:00::,
0020,accident,noun,noun. 事故；意外事件；偶然,AI初稿完成,通过,accident%1:11:01::|accident%1:11:00::,
0021,accommodation,noun,noun. 住处；住宿；适应；调节,AI初稿完成,通过,accommodation%1:06:00::|accommodation%1:11:00::|accommodation%1:04:00::,
0022,accompany,verb,verb. 陪同；伴随；为……伴奏,AI初稿完成,通过,accompany%2:38:00::|accompany%2:42:00::|accompany%2:36:00::,
0023,according to,preposition,preposition. 根据；按照；据……所说,AI初稿完成,通过,,课标原有多词表达；依据其通行语法功能编写，OEWN 无对应义项。
0024,account,noun；verb,noun. 账户；账目；叙述；解释；verb. 认为；说明；占（一定比例）,AI初稿完成,通过,account%1:26:00::|account%1:10:00::|account%1:10:04::,
0025,accurate,adjective,adjective. 准确的；精确的,AI初稿完成,通过,accurate%3:00:00::|accurate%5:00:00:correct:00,
0026,accuse,verb,verb. 指控；控告；谴责,AI初稿完成,通过,accuse%2:32:00::|accuse%2:32:01::,
0027,ache,noun；verb,noun. 持续的隐痛；verb. 疼痛；渴望,AI初稿完成,通过,ache%1:26:00::|ache%2:39:00::|ache%2:29:07::,
0028,achieve,verb,verb. 实现；达到；取得,AI初稿完成,通过,achieve%2:41:00::,
0029,achievement,noun,noun. 成就；成绩；完成,AI初稿完成,通过,achievement%1:04:00::,
0030,acid,noun；adjective,noun. 酸；adjective. 酸性的；尖刻的,AI初稿完成,通过,acid%5:00:00:acidic:00|acid%1:27:00::,
0031,acknowledge,verb,verb. 承认；确认；答谢,AI初稿完成,通过,acknowledge%2:32:00::|acknowledge%2:32:01::|acknowledge%2:32:04::,
0032,acquire,verb,verb. 获得；取得；学到,AI初稿完成,通过,acquire%2:40:00::|acquire%2:31:00::|acquire%2:30:05::,
0033,across,preposition；adverb,preposition. 横过；在……对面；遍及；adverb. 从一边到另一边；在对面,AI初稿完成,通过,across%4:02:01::|across%4:02:00::,补充中学阶段常用介词用法。
0034,act,noun；verb,noun. 行为；行动；法案；（戏剧的）一幕；verb. 行动；表现；扮演,AI初稿完成,通过,act%1:03:00::|act%1:10:00::|act%2:41:00::|act%2:29:00::|act%2:36:00::,
0035,action,noun,noun. 行动；行为；作用；情节,AI初稿完成,通过,action%1:04:02::|action%1:26:00::|action%1:10:00::,
0036,active,adjective,adjective. 积极的；活跃的；主动的；在运行的,AI初稿完成,通过,active%3:00:03::|active%5:00:00:involved:00|active%3:00:01::|active%5:00:00:existent:00,
0037,activity,noun,noun. 活动；活跃状态,AI初稿完成,通过,activity%1:04:00::|activity%1:26:00::,
0038,actor,noun,noun. 演员；行动者,AI初稿完成,通过,actor%1:18:00::,
0039,actress,noun,noun. 女演员,AI初稿完成,通过,actress%1:18:00::,
0040,actually,adverb,adverb. 实际上；事实上；的确,AI初稿完成,通过,actually%4:02:01::|actually%4:02:00::,
0041,AD,adverb,adverb. 公元（用于公元纪年）,AI初稿完成,通过,ad%4:02:00::,
0042,adapt,verb,verb. 使适应；适应；改编,AI初稿完成,通过,adapt%2:30:01::|adapt%2:30:02::,
0043,adaptation,noun,noun. 适应；改编；改编作品,AI初稿完成,通过,adaptation%1:10:00::|adaptation%1:22:00::,
0044,add,verb,verb. 添加；增加；补充说；相加,AI初稿完成,通过,add%2:30:00::|add%2:32:01::|add%2:31:00::,
0045,addict,noun；verb,noun. 成瘾者；入迷的人；verb. 使上瘾；使沉迷,AI初稿完成,通过,addict%1:18:00::|addict%1:18:01::|addict%2:34:00::,
0046,addition,noun,noun. 增加；添加物；加法,AI初稿完成,通过,addition%1:04:02::|addition%1:21:00::|addition%1:04:01::,
0047,address,noun；verb,noun. 地址；演说；称呼；verb. 写地址；向……讲话；处理（问题）,AI初稿完成,通过,address%1:15:00::|address%1:10:00::|address%1:10:02::,
0048,adjust,verb,verb. 调整；调节；适应,AI初稿完成,通过,adjust%2:30:00::|adjust%2:30:01::,
0049,administration,noun,noun. 管理；行政；管理部门；政府,AI初稿完成,通过,administration%1:04:00::|administration%1:14:00::|administration%1:04:04::,
0050,admire,verb,verb. 钦佩；赞赏；欣赏,AI初稿完成,通过,admire%2:37:00::|admire%2:39:00::,
0051,admit,verb,verb. 承认；准许进入；接纳,AI初稿完成,通过,admit%2:32:00::|admit%2:41:01::|admit%2:41:00::,
0052,adopt,verb,verb. 采用；采纳；收养,AI初稿完成,通过,adopt%2:40:02::|adopt%2:40:00::|adopt%2:30:00::,
0053,adorable,adjective,adjective. 可爱的；讨人喜爱的,AI初稿完成,通过,adorable%5:00:00:lovable:00,
